-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (12108, 16, 250) Train Lable: (12108, 1)
Test Data: (452, 16, 250) Test Lable: (452, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6282
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 6278
Number of 'non sick' samples: 6282
Maximum Value in Data Set: 47.52995743459253
Minimum Value in Data Set: -53.99202886301253
Mean Value in Data Set: 6.44160099516078e-05
Standard Daviation in Data Set: 1.0075391558847637
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 6054
Number of 'non sick' samples: 6054
Maximum Value in Training Set: 47.52995743459253
Minimum Value in Data Set: -53.99202886301253
Mean Value in Data Set: 4.472287899923789e-18
Standard Daviation in Data Set: 0.9999999999999987
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 224
Number of 'non sick' samples: 228
Maximum Value in Testing Set: 27.16341342803317
Minimum Value in Data Set: -18.560639272629796
Mean Value in Data Set: 0.0017899670021949991
Standard Daviation in Data Set: 1.1918752384370663
epoch: 0, lr: 0.01, accuracy: tensor(0.5450, device='cuda:0'), loss: 0.682597279548645, valid accuracy: tensor(0.5774, device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.6019, device='cuda:0'), loss: 0.6212128400802612, valid accuracy: tensor(0.6460, device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.6457, device='cuda:0'), loss: 0.6293562650680542, valid accuracy: tensor(0.6748, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.6720, device='cuda:0'), loss: 0.5647706389427185, valid accuracy: tensor(0.6438, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.6806, device='cuda:0'), loss: 0.5775589346885681, valid accuracy: tensor(0.6549, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.6952, device='cuda:0'), loss: 0.4750683009624481, valid accuracy: tensor(0.6704, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.6997, device='cuda:0'), loss: 0.4542556405067444, valid accuracy: tensor(0.6527, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.7104, device='cuda:0'), loss: 0.5047818422317505, valid accuracy: tensor(0.6084, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.7166, device='cuda:0'), loss: 0.563353419303894, valid accuracy: tensor(0.5929, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.7241, device='cuda:0'), loss: 0.5424795746803284, valid accuracy: tensor(0.5774, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.7285, device='cuda:0'), loss: 0.5877763032913208, valid accuracy: tensor(0.5199, device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.7316, device='cuda:0'), loss: 0.4862927496433258, valid accuracy: tensor(0.5133, device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.7426, device='cuda:0'), loss: 0.4966290295124054, valid accuracy: tensor(0.4912, device='cuda:0')
epoch: 13, lr: 0.01, accuracy: tensor(0.7556, device='cuda:0'), loss: 0.5068420171737671, valid accuracy: tensor(0.5398, device='cuda:0')
epoch: 14, lr: 0.01, accuracy: tensor(0.7578, device='cuda:0'), loss: 0.5164534449577332, valid accuracy: tensor(0.5022, device='cuda:0')
epoch: 15, lr: 0.01, accuracy: tensor(0.7612, device='cuda:0'), loss: 0.469705194234848, valid accuracy: tensor(0.5442, device='cuda:0')
epoch: 16, lr: 0.01, accuracy: tensor(0.7710, device='cuda:0'), loss: 0.47751230001449585, valid accuracy: tensor(0.5465, device='cuda:0')
epoch: 17, lr: 0.01, accuracy: tensor(0.7684, device='cuda:0'), loss: 0.603384792804718, valid accuracy: tensor(0.5111, device='cuda:0')
epoch: 18, lr: 0.01, accuracy: tensor(0.7778, device='cuda:0'), loss: 0.6536809206008911, valid accuracy: tensor(0.5199, device='cuda:0')
