-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (12338, 16, 250) Train Lable: (12338, 1)
Test Data: (453, 16, 250) Test Lable: (453, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6282
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 6509
Number of 'non sick' samples: 6282
Maximum Value in Data Set: 47.10640304604684
Minimum Value in Data Set: -53.51571252591288
Mean Value in Data Set: -0.00015020456030803662
Standard Daviation in Data Set: 1.0048107492304201
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 6169
Number of 'non sick' samples: 6169
Maximum Value in Training Set: 47.10640304604684
Minimum Value in Data Set: -53.51571252591288
Mean Value in Data Set: -4.104999692412055e-18
Standard Daviation in Data Set: 0.9999999999999998
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 340
Number of 'non sick' samples: 113
Maximum Value in Testing Set: 14.6775950019951
Minimum Value in Data Set: -12.348349809293246
Mean Value in Data Set: -0.004241206469978025
Standard Daviation in Data Set: 1.1279675141336383
epoch: 0, lr: 0.01, accuracy: tensor(0.5447, device='cuda:0'), loss: 0.6818931102752686, valid accuracy: tensor(0.7506, device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.6086, device='cuda:0'), loss: 0.702338695526123, valid accuracy: tensor(0.7417, device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.6494, device='cuda:0'), loss: 0.9143741130828857, valid accuracy: tensor(0.7174, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.6656, device='cuda:0'), loss: 0.5763352513313293, valid accuracy: tensor(0.7461, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.6786, device='cuda:0'), loss: 0.5567713975906372, valid accuracy: tensor(0.7196, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.6850, device='cuda:0'), loss: 0.567742109298706, valid accuracy: tensor(0.7241, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.6958, device='cuda:0'), loss: 0.5847961902618408, valid accuracy: tensor(0.7395, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.7025, device='cuda:0'), loss: 0.536377489566803, valid accuracy: tensor(0.7373, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.7132, device='cuda:0'), loss: 0.38495969772338867, valid accuracy: tensor(0.7196, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.7189, device='cuda:0'), loss: 0.7713341116905212, valid accuracy: tensor(0.7263, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.7216, device='cuda:0'), loss: 0.5437872409820557, valid accuracy: tensor(0.7439, device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.7217, device='cuda:0'), loss: 0.5223422050476074, valid accuracy: tensor(0.7241, device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.7419, device='cuda:0'), loss: 0.7063076496124268, valid accuracy: tensor(0.7108, device='cuda:0')
epoch: 13, lr: 0.01, accuracy: tensor(0.7414, device='cuda:0'), loss: 0.5812318325042725, valid accuracy: tensor(0.7417, device='cuda:0')
epoch: 14, lr: 0.01, accuracy: tensor(0.7414, device='cuda:0'), loss: 0.6303873658180237, valid accuracy: tensor(0.7417, device='cuda:0')
epoch: 15, lr: 0.01, accuracy: tensor(0.7573, device='cuda:0'), loss: 0.7237670421600342, valid accuracy: tensor(0.7130, device='cuda:0')
epoch: 16, lr: 0.01, accuracy: tensor(0.7593, device='cuda:0'), loss: 0.5373608469963074, valid accuracy: tensor(0.7351, device='cuda:0')
epoch: 17, lr: 0.01, accuracy: tensor(0.7688, device='cuda:0'), loss: 0.5235759615898132, valid accuracy: tensor(0.7329, device='cuda:0')
epoch: 18, lr: 0.01, accuracy: tensor(0.7661, device='cuda:0'), loss: 0.4614589512348175, valid accuracy: tensor(0.7042, device='cuda:0')
epoch: 19, lr: 0.01, accuracy: tensor(0.7696, device='cuda:0'), loss: 0.4878805875778198, valid accuracy: tensor(0.7461, device='cuda:0')
epoch: 20, lr: 0.01, accuracy: tensor(0.7793, device='cuda:0'), loss: 0.4165843725204468, valid accuracy: tensor(0.7020, device='cuda:0')
epoch: 21, lr: 0.01, accuracy: tensor(0.7810, device='cuda:0'), loss: 0.6900099515914917, valid accuracy: tensor(0.7417, device='cuda:0')
epoch: 22, lr: 0.01, accuracy: tensor(0.7801, device='cuda:0'), loss: 0.5431634783744812, valid accuracy: tensor(0.7307, device='cuda:0')
epoch: 23, lr: 0.01, accuracy: tensor(0.7859, device='cuda:0'), loss: 0.3641592562198639, valid accuracy: tensor(0.6468, device='cuda:0')
epoch: 24, lr: 0.01, accuracy: tensor(0.7896, device='cuda:0'), loss: 0.39566493034362793, valid accuracy: tensor(0.7219, device='cuda:0')
epoch: 25, lr: 0.01, accuracy: tensor(0.7929, device='cuda:0'), loss: 0.4276943802833557, valid accuracy: tensor(0.6689, device='cuda:0')
epoch: 26, lr: 0.01, accuracy: tensor(0.7908, device='cuda:0'), loss: 0.3885960578918457, valid accuracy: tensor(0.7307, device='cuda:0')
epoch: 27, lr: 0.01, accuracy: tensor(0.7945, device='cuda:0'), loss: 0.5136191248893738, valid accuracy: tensor(0.7329, device='cuda:0')
epoch: 28, lr: 0.01, accuracy: tensor(0.7922, device='cuda:0'), loss: 0.5483455657958984, valid accuracy: tensor(0.7373, device='cuda:0')
epoch: 29, lr: 0.01, accuracy: tensor(0.8013, device='cuda:0'), loss: 0.493682861328125, valid accuracy: tensor(0.7351, device='cuda:0')
epoch: 30, lr: 0.01, accuracy: tensor(0.8075, device='cuda:0'), loss: 0.4908096492290497, valid accuracy: tensor(0.7086, device='cuda:0')
epoch: 31, lr: 0.01, accuracy: tensor(0.8073, device='cuda:0'), loss: 0.4710032045841217, valid accuracy: tensor(0.7329, device='cuda:0')
epoch: 32, lr: 0.01, accuracy: tensor(0.8064, device='cuda:0'), loss: 0.5711085200309753, valid accuracy: tensor(0.7196, device='cuda:0')
epoch: 33, lr: 0.01, accuracy: tensor(0.8133, device='cuda:0'), loss: 0.5446934103965759, valid accuracy: tensor(0.6954, device='cuda:0')
epoch: 34, lr: 0.01, accuracy: tensor(0.8101, device='cuda:0'), loss: 0.5132591128349304, valid accuracy: tensor(0.6711, device='cuda:0')
epoch: 35, lr: 0.01, accuracy: tensor(0.8062, device='cuda:0'), loss: 0.4945581257343292, valid accuracy: tensor(0.7329, device='cuda:0')
epoch: 36, lr: 0.01, accuracy: tensor(0.8146, device='cuda:0'), loss: 0.4387508034706116, valid accuracy: tensor(0.7130, device='cuda:0')
epoch: 37, lr: 0.01, accuracy: tensor(0.8167, device='cuda:0'), loss: 0.47558915615081787, valid accuracy: tensor(0.6645, device='cuda:0')
epoch: 38, lr: 0.01, accuracy: tensor(0.8171, device='cuda:0'), loss: 0.455382764339447, valid accuracy: tensor(0.7351, device='cuda:0')
epoch: 39, lr: 0.01, accuracy: tensor(0.8230, device='cuda:0'), loss: 0.49714893102645874, valid accuracy: tensor(0.7196, device='cuda:0')
epoch: 40, lr: 0.01, accuracy: tensor(0.8189, device='cuda:0'), loss: 0.46886900067329407, valid accuracy: tensor(0.6909, device='cuda:0')
epoch: 41, lr: 0.01, accuracy: tensor(0.8204, device='cuda:0'), loss: 0.43899908661842346, valid accuracy: tensor(0.7351, device='cuda:0')
epoch: 42, lr: 0.01, accuracy: tensor(0.8277, device='cuda:0'), loss: 0.4745532274246216, valid accuracy: tensor(0.7130, device='cuda:0')
epoch: 43, lr: 0.01, accuracy: tensor(0.8250, device='cuda:0'), loss: 0.5124490261077881, valid accuracy: tensor(0.7417, device='cuda:0')
epoch: 44, lr: 0.01, accuracy: tensor(0.8175, device='cuda:0'), loss: 0.41837966442108154, valid accuracy: tensor(0.7263, device='cuda:0')
epoch: 45, lr: 0.01, accuracy: tensor(0.8283, device='cuda:0'), loss: 0.32380807399749756, valid accuracy: tensor(0.7417, device='cuda:0')
