-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (12116, 16, 250) Train Lable: (12116, 1)
Test Data: (454, 16, 250) Test Lable: (454, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6282
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 6288
Number of 'non sick' samples: 6282
Maximum Value in Data Set: 46.535465219148065
Minimum Value in Data Set: -52.863772121959876
Mean Value in Data Set: 0.00012986058795168602
Standard Daviation in Data Set: 0.9930796003782753
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 6058
Number of 'non sick' samples: 6058
Maximum Value in Training Set: 46.535465219148065
Minimum Value in Data Set: -52.863772121959876
Mean Value in Data Set: 2.8472144124424614e-19
Standard Daviation in Data Set: 0.9999999999999981
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 230
Number of 'non sick' samples: 224
Maximum Value in Testing Set: 5.261221716663933
Minimum Value in Data Set: -4.4499973580930785
Mean Value in Data Set: 0.0035954792743451286
Standard Daviation in Data Set: 0.7861934977033884
epoch: 0, lr: 0.01, accuracy: tensor(0.5513, device='cuda:0'), loss: 0.6415650844573975, valid accuracy: tensor(0.4714, device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.6189, device='cuda:0'), loss: 0.6653568148612976, valid accuracy: tensor(0.4383, device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.6638, device='cuda:0'), loss: 0.5946625471115112, valid accuracy: tensor(0.4493, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.6850, device='cuda:0'), loss: 0.6327165961265564, valid accuracy: tensor(0.4559, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.6972, device='cuda:0'), loss: 0.6544585227966309, valid accuracy: tensor(0.4670, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.7035, device='cuda:0'), loss: 0.5618856549263, valid accuracy: tensor(0.4471, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.7130, device='cuda:0'), loss: 0.5931082963943481, valid accuracy: tensor(0.4471, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.7220, device='cuda:0'), loss: 0.637309730052948, valid accuracy: tensor(0.4537, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.7240, device='cuda:0'), loss: 0.6557274460792542, valid accuracy: tensor(0.4714, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.7354, device='cuda:0'), loss: 0.6043680310249329, valid accuracy: tensor(0.4295, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.7394, device='cuda:0'), loss: 0.5557729005813599, valid accuracy: tensor(0.4009, device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.7439, device='cuda:0'), loss: 0.5747058987617493, valid accuracy: tensor(0.4163, device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.7552, device='cuda:0'), loss: 0.6373884677886963, valid accuracy: tensor(0.4251, device='cuda:0')
epoch: 13, lr: 0.01, accuracy: tensor(0.7556, device='cuda:0'), loss: 0.613435685634613, valid accuracy: tensor(0.4229, device='cuda:0')
epoch: 14, lr: 0.01, accuracy: tensor(0.7622, device='cuda:0'), loss: 0.5487990975379944, valid accuracy: tensor(0.4097, device='cuda:0')
epoch: 15, lr: 0.01, accuracy: tensor(0.7682, device='cuda:0'), loss: 0.5454965233802795, valid accuracy: tensor(0.4229, device='cuda:0')
epoch: 16, lr: 0.01, accuracy: tensor(0.7682, device='cuda:0'), loss: 0.5530752539634705, valid accuracy: tensor(0.4405, device='cuda:0')
epoch: 17, lr: 0.01, accuracy: tensor(0.7768, device='cuda:0'), loss: 0.4837002158164978, valid accuracy: tensor(0.4185, device='cuda:0')
epoch: 18, lr: 0.01, accuracy: tensor(0.7768, device='cuda:0'), loss: 0.5494774580001831, valid accuracy: tensor(0.4053, device='cuda:0')
epoch: 19, lr: 0.01, accuracy: tensor(0.7757, device='cuda:0'), loss: 0.5850375890731812, valid accuracy: tensor(0.4317, device='cuda:0')
epoch: 20, lr: 0.01, accuracy: tensor(0.7833, device='cuda:0'), loss: 0.5199486017227173, valid accuracy: tensor(0.3877, device='cuda:0')
epoch: 21, lr: 0.01, accuracy: tensor(0.7895, device='cuda:0'), loss: 0.5596885681152344, valid accuracy: tensor(0.4097, device='cuda:0')
epoch: 22, lr: 0.01, accuracy: tensor(0.7895, device='cuda:0'), loss: 0.5078953504562378, valid accuracy: tensor(0.3943, device='cuda:0')
epoch: 23, lr: 0.01, accuracy: tensor(0.7960, device='cuda:0'), loss: 0.5404950380325317, valid accuracy: tensor(0.4141, device='cuda:0')
epoch: 24, lr: 0.01, accuracy: tensor(0.7947, device='cuda:0'), loss: 0.5572302937507629, valid accuracy: tensor(0.4185, device='cuda:0')
epoch: 25, lr: 0.01, accuracy: tensor(0.7956, device='cuda:0'), loss: 0.5482556223869324, valid accuracy: tensor(0.4141, device='cuda:0')
epoch: 26, lr: 0.01, accuracy: tensor(0.8047, device='cuda:0'), loss: 0.5927512645721436, valid accuracy: tensor(0.3833, device='cuda:0')
epoch: 27, lr: 0.01, accuracy: tensor(0.8002, device='cuda:0'), loss: 0.43801069259643555, valid accuracy: tensor(0.4119, device='cuda:0')
epoch: 28, lr: 0.01, accuracy: tensor(0.8071, device='cuda:0'), loss: 0.5784257054328918, valid accuracy: tensor(0.4405, device='cuda:0')
epoch: 29, lr: 0.01, accuracy: tensor(0.8072, device='cuda:0'), loss: 0.5027115941047668, valid accuracy: tensor(0.4361, device='cuda:0')
epoch: 30, lr: 0.01, accuracy: tensor(0.8116, device='cuda:0'), loss: 0.4878348708152771, valid accuracy: tensor(0.4295, device='cuda:0')
epoch: 31, lr: 0.01, accuracy: tensor(0.8134, device='cuda:0'), loss: 0.4491405487060547, valid accuracy: tensor(0.4427, device='cuda:0')
epoch: 32, lr: 0.01, accuracy: tensor(0.8101, device='cuda:0'), loss: 0.4527525305747986, valid accuracy: tensor(0.4251, device='cuda:0')
epoch: 33, lr: 0.01, accuracy: tensor(0.8140, device='cuda:0'), loss: 0.48286744952201843, valid accuracy: tensor(0.4053, device='cuda:0')
epoch: 34, lr: 0.01, accuracy: tensor(0.8131, device='cuda:0'), loss: 0.47228559851646423, valid accuracy: tensor(0.4471, device='cuda:0')
epoch: 35, lr: 0.01, accuracy: tensor(0.8231, device='cuda:0'), loss: 0.481744647026062, valid accuracy: tensor(0.4295, device='cuda:0')
epoch: 36, lr: 0.01, accuracy: tensor(0.8256, device='cuda:0'), loss: 0.49364742636680603, valid accuracy: tensor(0.3877, device='cuda:0')
epoch: 37, lr: 0.01, accuracy: tensor(0.8223, device='cuda:0'), loss: 0.470705509185791, valid accuracy: tensor(0.4273, device='cuda:0')
epoch: 38, lr: 0.01, accuracy: tensor(0.8107, device='cuda:0'), loss: 0.5253326892852783, valid accuracy: tensor(0.4405, device='cuda:0')
epoch: 39, lr: 0.01, accuracy: tensor(0.8234, device='cuda:0'), loss: 0.45980972051620483, valid accuracy: tensor(0.4581, device='cuda:0')
epoch: 40, lr: 0.01, accuracy: tensor(0.8212, device='cuda:0'), loss: 0.47593721747398376, valid accuracy: tensor(0.4273, device='cuda:0')
epoch: 41, lr: 0.01, accuracy: tensor(0.8299, device='cuda:0'), loss: 0.5601687431335449, valid accuracy: tensor(0.4317, device='cuda:0')
epoch: 42, lr: 0.01, accuracy: tensor(0.8319, device='cuda:0'), loss: 0.5437895059585571, valid accuracy: tensor(0.3855, device='cuda:0')
epoch: 43, lr: 0.01, accuracy: tensor(0.8199, device='cuda:0'), loss: 0.5972115993499756, valid accuracy: tensor(0.4537, device='cuda:0')
epoch: 44, lr: 0.01, accuracy: tensor(0.8347, device='cuda:0'), loss: 0.5095275640487671, valid accuracy: tensor(0.4692, device='cuda:0')
epoch: 45, lr: 0.01, accuracy: tensor(0.8372, device='cuda:0'), loss: 0.47987985610961914, valid accuracy: tensor(0.4383, device='cuda:0')
