-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (11648, 16, 250) Train Lable: (11648, 1)
Test Data: (458, 16, 250) Test Lable: (458, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6282
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 5824
Number of 'non sick' samples: 6282
Maximum Value in Data Set: 46.54616169763713
Minimum Value in Data Set: -52.87745818701126
Mean Value in Data Set: -4.009332440754156e-06
Standard Daviation in Data Set: 0.9873340071279872
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 5824
Number of 'non sick' samples: 5824
Maximum Value in Training Set: 46.54616169763713
Minimum Value in Data Set: -52.87745818701126
Mean Value in Data Set: -2.4466539905176886e-17
Standard Daviation in Data Set: 1.0000000000000004
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 0
Number of 'non sick' samples: 458
Maximum Value in Testing Set: 5.981043293446713
Minimum Value in Data Set: -5.214258352751261
Mean Value in Data Set: -0.00010597593564952876
Standard Daviation in Data Set: 0.5784958463061239
epoch: 0, lr: 0.01, accuracy: tensor(0.5241, device='cuda:0'), loss: 0.7114139199256897, valid accuracy: tensor(1., device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.5936, device='cuda:0'), loss: 0.7979583740234375, valid accuracy: tensor(0.8690, device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.6476, device='cuda:0'), loss: 0.6145556569099426, valid accuracy: tensor(0.8952, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.6593, device='cuda:0'), loss: 0.5481589436531067, valid accuracy: tensor(0.9760, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.6751, device='cuda:0'), loss: 0.7923874258995056, valid accuracy: tensor(0.9738, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.6862, device='cuda:0'), loss: 0.605721116065979, valid accuracy: tensor(0.8035, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.6866, device='cuda:0'), loss: 0.4911973476409912, valid accuracy: tensor(0.9301, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.6969, device='cuda:0'), loss: 0.4513477683067322, valid accuracy: tensor(0.8777, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.7094, device='cuda:0'), loss: 0.6499892473220825, valid accuracy: tensor(0.6987, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.7134, device='cuda:0'), loss: 0.6503208875656128, valid accuracy: tensor(0.8253, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.7147, device='cuda:0'), loss: 0.7540978193283081, valid accuracy: tensor(0.7817, device='cuda:0')
