-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (11646, 16, 250) Train Lable: (11646, 1)
Test Data: (459, 16, 250) Test Lable: (459, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6282
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 5823
Number of 'non sick' samples: 6282
Maximum Value in Data Set: 19.959165305316652
Minimum Value in Data Set: -19.94695476673348
Mean Value in Data Set: 6.340494114574579e-05
Standard Daviation in Data Set: 0.9809896162000272
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 5823
Number of 'non sick' samples: 5823
Maximum Value in Training Set: 19.959165305316652
Minimum Value in Data Set: -19.94695476673348
Mean Value in Data Set: -1.5085763081233246e-17
Standard Daviation in Data Set: 0.9999999999999958
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 0
Number of 'non sick' samples: 459
Maximum Value in Testing Set: 0.8636430706235552
Minimum Value in Data Set: -0.5841834940470619
Mean Value in Data Set: 0.0016721499184519175
Standard Daviation in Data Set: 0.08260539861706423
epoch: 0, lr: 0.01, accuracy: tensor(0.5045, device='cuda:0'), loss: 0.7437720894813538, valid accuracy: tensor(1., device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.5026, device='cuda:0'), loss: 0.7133352756500244, valid accuracy: tensor(0., device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.5092, device='cuda:0'), loss: 0.7012296319007874, valid accuracy: tensor(0., device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.4961, device='cuda:0'), loss: 0.693228006362915, valid accuracy: tensor(0.0022, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.5081, device='cuda:0'), loss: 0.6961204409599304, valid accuracy: tensor(0.5425, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.5145, device='cuda:0'), loss: 0.676622211933136, valid accuracy: tensor(1., device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.5198, device='cuda:0'), loss: 0.6854579448699951, valid accuracy: tensor(1., device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.5524, device='cuda:0'), loss: 0.6375431418418884, valid accuracy: tensor(0.8998, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.6328, device='cuda:0'), loss: 0.5783770084381104, valid accuracy: tensor(0.8235, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.6778, device='cuda:0'), loss: 0.5764299631118774, valid accuracy: tensor(0.2200, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.7160, device='cuda:0'), loss: 0.6132423877716064, valid accuracy: tensor(0.3268, device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.7416, device='cuda:0'), loss: 0.790945827960968, valid accuracy: tensor(0.3595, device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.7504, device='cuda:0'), loss: 0.4869507849216461, valid accuracy: tensor(0.4902, device='cuda:0')
epoch: 13, lr: 0.01, accuracy: tensor(0.7584, device='cuda:0'), loss: 0.3157193064689636, valid accuracy: tensor(0.3638, device='cuda:0')
epoch: 14, lr: 0.01, accuracy: tensor(0.7674, device='cuda:0'), loss: 0.5956950187683105, valid accuracy: tensor(0.3094, device='cuda:0')
epoch: 15, lr: 0.01, accuracy: tensor(0.7695, device='cuda:0'), loss: 0.5948269367218018, valid accuracy: tensor(0.3660, device='cuda:0')
epoch: 16, lr: 0.01, accuracy: tensor(0.7772, device='cuda:0'), loss: 0.7008278369903564, valid accuracy: tensor(0.0850, device='cuda:0')
epoch: 17, lr: 0.01, accuracy: tensor(0.7830, device='cuda:0'), loss: 0.43270745873451233, valid accuracy: tensor(0.1394, device='cuda:0')
epoch: 18, lr: 0.01, accuracy: tensor(0.7815, device='cuda:0'), loss: 0.32972487807273865, valid accuracy: tensor(0.3246, device='cuda:0')
epoch: 19, lr: 0.01, accuracy: tensor(0.7858, device='cuda:0'), loss: 0.727486789226532, valid accuracy: tensor(0.2113, device='cuda:0')
epoch: 20, lr: 0.01, accuracy: tensor(0.7804, device='cuda:0'), loss: 0.5550632476806641, valid accuracy: tensor(0.0784, device='cuda:0')
epoch: 21, lr: 0.01, accuracy: tensor(0.7822, device='cuda:0'), loss: 0.7308818697929382, valid accuracy: tensor(0.0240, device='cuda:0')
epoch: 22, lr: 0.01, accuracy: tensor(0.7942, device='cuda:0'), loss: 0.4671449363231659, valid accuracy: tensor(0.0523, device='cuda:0')
epoch: 23, lr: 0.01, accuracy: tensor(0.7897, device='cuda:0'), loss: 0.349893182516098, valid accuracy: tensor(0.0196, device='cuda:0')
epoch: 24, lr: 0.01, accuracy: tensor(0.7968, device='cuda:0'), loss: 0.3541328012943268, valid accuracy: tensor(0.0610, device='cuda:0')
epoch: 25, lr: 0.01, accuracy: tensor(0.7998, device='cuda:0'), loss: 0.5063016414642334, valid accuracy: tensor(0.0218, device='cuda:0')
epoch: 26, lr: 0.01, accuracy: tensor(0.7973, device='cuda:0'), loss: 0.5705929398536682, valid accuracy: tensor(0.1481, device='cuda:0')
epoch: 27, lr: 0.01, accuracy: tensor(0.8101, device='cuda:0'), loss: 0.48452094197273254, valid accuracy: tensor(0.1307, device='cuda:0')
epoch: 28, lr: 0.01, accuracy: tensor(0.8043, device='cuda:0'), loss: 0.3261341154575348, valid accuracy: tensor(0.0479, device='cuda:0')
epoch: 29, lr: 0.01, accuracy: tensor(0.8056, device='cuda:0'), loss: 0.31429919600486755, valid accuracy: tensor(0.0675, device='cuda:0')
epoch: 30, lr: 0.01, accuracy: tensor(0.8083, device='cuda:0'), loss: 0.36296749114990234, valid accuracy: tensor(0.0131, device='cuda:0')
epoch: 31, lr: 0.01, accuracy: tensor(0.8151, device='cuda:0'), loss: 0.5348951816558838, valid accuracy: tensor(0.4205, device='cuda:0')
epoch: 32, lr: 0.01, accuracy: tensor(0.8090, device='cuda:0'), loss: 0.6857215762138367, valid accuracy: tensor(0.1133, device='cuda:0')
epoch: 33, lr: 0.01, accuracy: tensor(0.8122, device='cuda:0'), loss: 0.6539624929428101, valid accuracy: tensor(0.3617, device='cuda:0')
epoch: 34, lr: 0.01, accuracy: tensor(0.8157, device='cuda:0'), loss: 0.37065112590789795, valid accuracy: tensor(0.2070, device='cuda:0')
epoch: 35, lr: 0.01, accuracy: tensor(0.8184, device='cuda:0'), loss: 0.5110414028167725, valid accuracy: tensor(0.2157, device='cuda:0')
epoch: 36, lr: 0.01, accuracy: tensor(0.8200, device='cuda:0'), loss: 0.5051356554031372, valid accuracy: tensor(0.3725, device='cuda:0')
epoch: 37, lr: 0.01, accuracy: tensor(0.8253, device='cuda:0'), loss: 0.3894881308078766, valid accuracy: tensor(0.0654, device='cuda:0')
epoch: 38, lr: 0.01, accuracy: tensor(0.8276, device='cuda:0'), loss: 0.5709635615348816, valid accuracy: tensor(0.0458, device='cuda:0')
epoch: 39, lr: 0.01, accuracy: tensor(0.8282, device='cuda:0'), loss: 0.3356887102127075, valid accuracy: tensor(0.0218, device='cuda:0')
epoch: 40, lr: 0.01, accuracy: tensor(0.8303, device='cuda:0'), loss: 0.4817363917827606, valid accuracy: tensor(0.1329, device='cuda:0')
epoch: 41, lr: 0.01, accuracy: tensor(0.8369, device='cuda:0'), loss: 0.47858449816703796, valid accuracy: tensor(0.0610, device='cuda:0')
epoch: 42, lr: 0.01, accuracy: tensor(0.8322, device='cuda:0'), loss: 0.5264204144477844, valid accuracy: tensor(0.3224, device='cuda:0')
epoch: 43, lr: 0.01, accuracy: tensor(0.8331, device='cuda:0'), loss: 0.8475014567375183, valid accuracy: tensor(0.0218, device='cuda:0')
epoch: 44, lr: 0.01, accuracy: tensor(0.8326, device='cuda:0'), loss: 0.4818798303604126, valid accuracy: tensor(0.2026, device='cuda:0')
epoch: 45, lr: 0.01, accuracy: tensor(0.8395, device='cuda:0'), loss: 0.683647632598877, valid accuracy: tensor(0.0784, device='cuda:0')
epoch: 46, lr: 0.01, accuracy: tensor(0.8393, device='cuda:0'), loss: 0.31470781564712524, valid accuracy: tensor(0.2876, device='cuda:0')
epoch: 47, lr: 0.01, accuracy: tensor(0.8385, device='cuda:0'), loss: 0.4799708127975464, valid accuracy: tensor(0.3007, device='cuda:0')
epoch: 48, lr: 0.01, accuracy: tensor(0.8447, device='cuda:0'), loss: 0.5990529656410217, valid accuracy: tensor(0.1373, device='cuda:0')
epoch: 49, lr: 0.01, accuracy: tensor(0.8376, device='cuda:0'), loss: 0.7021381855010986, valid accuracy: tensor(0.0305, device='cuda:0')
epoch: 50, lr: 0.01, accuracy: tensor(0.8393, device='cuda:0'), loss: 0.3223825991153717, valid accuracy: tensor(0.1198, device='cuda:0')
epoch: 51, lr: 0.01, accuracy: tensor(0.8513, device='cuda:0'), loss: 0.4853242337703705, valid accuracy: tensor(0.0719, device='cuda:0')
epoch: 52, lr: 0.01, accuracy: tensor(0.8446, device='cuda:0'), loss: 0.7001441121101379, valid accuracy: tensor(0.0283, device='cuda:0')
epoch: 53, lr: 0.01, accuracy: tensor(0.8418, device='cuda:0'), loss: 0.592194139957428, valid accuracy: tensor(0.2353, device='cuda:0')
epoch: 54, lr: 0.01, accuracy: tensor(0.8425, device='cuda:0'), loss: 0.5779879689216614, valid accuracy: tensor(0.3137, device='cuda:0')
epoch: 55, lr: 0.01, accuracy: tensor(0.8424, device='cuda:0'), loss: 0.3219936192035675, valid accuracy: tensor(0.2723, device='cuda:0')
epoch: 56, lr: 0.01, accuracy: tensor(0.8392, device='cuda:0'), loss: 0.34482133388519287, valid accuracy: tensor(0.1569, device='cuda:0')
epoch: 57, lr: 0.01, accuracy: tensor(0.8560, device='cuda:0'), loss: 0.31530770659446716, valid accuracy: tensor(0.0174, device='cuda:0')
epoch: 58, lr: 0.01, accuracy: tensor(0.8483, device='cuda:0'), loss: 0.5872693657875061, valid accuracy: tensor(0.0065, device='cuda:0')
epoch: 59, lr: 0.01, accuracy: tensor(0.8521, device='cuda:0'), loss: 0.3133173882961273, valid accuracy: tensor(0.2680, device='cuda:0')
epoch: 60, lr: 0.01, accuracy: tensor(0.5432, device='cuda:0'), loss: 0.8132618069648743, valid accuracy: tensor(1., device='cuda:0')
epoch: 61, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.8132617473602295, valid accuracy: tensor(1., device='cuda:0')
epoch: 62, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.9799284934997559, valid accuracy: tensor(1., device='cuda:0')
epoch: 63, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.9799284934997559, valid accuracy: tensor(1., device='cuda:0')
epoch: 64, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.9799284934997559, valid accuracy: tensor(1., device='cuda:0')
epoch: 65, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.6465950608253479, valid accuracy: tensor(1., device='cuda:0')
epoch: 66, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.8132617473602295, valid accuracy: tensor(1., device='cuda:0')
epoch: 67, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 1.1465951204299927, valid accuracy: tensor(1., device='cuda:0')
epoch: 68, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.8132617473602295, valid accuracy: tensor(1., device='cuda:0')
epoch: 69, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.6465950608253479, valid accuracy: tensor(1., device='cuda:0')
epoch: 70, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.9799284934997559, valid accuracy: tensor(1., device='cuda:0')
epoch: 71, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.6465950608253479, valid accuracy: tensor(1., device='cuda:0')
epoch: 72, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.9799284934997559, valid accuracy: tensor(1., device='cuda:0')
epoch: 73, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 1.1465951204299927, valid accuracy: tensor(1., device='cuda:0')
epoch: 74, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.8132618069648743, valid accuracy: tensor(1., device='cuda:0')
epoch: 75, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.8132618069648743, valid accuracy: tensor(1., device='cuda:0')
epoch: 76, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.9799284934997559, valid accuracy: tensor(1., device='cuda:0')
epoch: 77, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.8132618069648743, valid accuracy: tensor(1., device='cuda:0')
epoch: 78, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.6465945839881897, valid accuracy: tensor(1., device='cuda:0')
epoch: 79, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.9799225330352783, valid accuracy: tensor(1., device='cuda:0')
epoch: 80, lr: 0.01, accuracy: tensor(0.4967, device='cuda:0'), loss: 0.6877649426460266, valid accuracy: tensor(0.9695, device='cuda:0')
epoch: 81, lr: 0.01, accuracy: tensor(0.6123, device='cuda:0'), loss: 0.3676041066646576, valid accuracy: tensor(0.4553, device='cuda:0')
epoch: 82, lr: 0.01, accuracy: tensor(0.7931, device='cuda:0'), loss: 0.6588851809501648, valid accuracy: tensor(0.0022, device='cuda:0')
epoch: 83, lr: 0.01, accuracy: tensor(0.8043, device='cuda:0'), loss: 0.4090237617492676, valid accuracy: tensor(0.4161, device='cuda:0')
epoch: 84, lr: 0.01, accuracy: tensor(0.8064, device='cuda:0'), loss: 0.33729037642478943, valid accuracy: tensor(0.1656, device='cuda:0')
epoch: 85, lr: 0.01, accuracy: tensor(0.8252, device='cuda:0'), loss: 0.3137853145599365, valid accuracy: tensor(0.1024, device='cuda:0')
epoch: 86, lr: 0.01, accuracy: tensor(0.8354, device='cuda:0'), loss: 0.4711248576641083, valid accuracy: tensor(0.0240, device='cuda:0')
epoch: 87, lr: 0.01, accuracy: tensor(0.8344, device='cuda:0'), loss: 0.328902930021286, valid accuracy: tensor(0.0784, device='cuda:0')
epoch: 88, lr: 0.01, accuracy: tensor(0.8419, device='cuda:0'), loss: 0.31445106863975525, valid accuracy: tensor(0.1220, device='cuda:0')
epoch: 89, lr: 0.01, accuracy: tensor(0.8381, device='cuda:0'), loss: 0.5542404651641846, valid accuracy: tensor(0.1678, device='cuda:0')
epoch: 90, lr: 0.01, accuracy: tensor(0.8357, device='cuda:0'), loss: 0.4800054728984833, valid accuracy: tensor(0.2200, device='cuda:0')
epoch: 91, lr: 0.01, accuracy: tensor(0.8444, device='cuda:0'), loss: 0.47739672660827637, valid accuracy: tensor(0.1983, device='cuda:0')
epoch: 92, lr: 0.01, accuracy: tensor(0.8460, device='cuda:0'), loss: 0.3571772873401642, valid accuracy: tensor(0.1808, device='cuda:0')
epoch: 93, lr: 0.01, accuracy: tensor(0.8508, device='cuda:0'), loss: 0.3141402304172516, valid accuracy: tensor(0.1961, device='cuda:0')
epoch: 94, lr: 0.01, accuracy: tensor(0.8532, device='cuda:0'), loss: 0.31416285037994385, valid accuracy: tensor(0.3181, device='cuda:0')
epoch: 95, lr: 0.01, accuracy: tensor(0.8536, device='cuda:0'), loss: 0.3585070073604584, valid accuracy: tensor(0.0545, device='cuda:0')
epoch: 96, lr: 0.01, accuracy: tensor(0.8573, device='cuda:0'), loss: 0.31331077218055725, valid accuracy: tensor(0.0044, device='cuda:0')
epoch: 97, lr: 0.01, accuracy: tensor(0.8497, device='cuda:0'), loss: 0.6052678227424622, valid accuracy: tensor(0.0828, device='cuda:0')
epoch: 98, lr: 0.01, accuracy: tensor(0.8594, device='cuda:0'), loss: 0.38320431113243103, valid accuracy: tensor(0.0959, device='cuda:0')
