-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (11890, 16, 250) Train Lable: (11890, 1)
Test Data: (457, 16, 250) Test Lable: (457, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6288
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 6059
Number of 'non sick' samples: 6288
Maximum Value in Data Set: 59.367985
Minimum Value in Data Set: -66.66032
Mean Value in Data Set: -0.0002910667
Standard Daviation in Data Set: 0.9892074
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 5945
Number of 'non sick' samples: 5945
Maximum Value in Training Set: 59.367985
Minimum Value in Data Set: -66.66032
Mean Value in Data Set: -2.9313815e-08
Standard Daviation in Data Set: 0.9999999
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 114
Number of 'non sick' samples: 343
Maximum Value in Testing Set: 5.3727956
Minimum Value in Data Set: -6.8854675
Mean Value in Data Set: -0.007863136
Standard Daviation in Data Set: 0.6479936
epoch: 0, lr: 0.01, accuracy: tensor(0.5468, device='cuda:0'), loss: 0.6836169362068176, valid accuracy: tensor(0.7462, device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.5849, device='cuda:0'), loss: 0.7108350396156311, valid accuracy: tensor(0.6455, device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.6246, device='cuda:0'), loss: 0.49238720536231995, valid accuracy: tensor(0.6827, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.6526, device='cuda:0'), loss: 0.6963426470756531, valid accuracy: tensor(0.6543, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.6673, device='cuda:0'), loss: 0.6170473098754883, valid accuracy: tensor(0.5361, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.6917, device='cuda:0'), loss: 0.5868138670921326, valid accuracy: tensor(0.4114, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.7008, device='cuda:0'), loss: 0.5718092918395996, valid accuracy: tensor(0.5339, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.7119, device='cuda:0'), loss: 0.5176447033882141, valid accuracy: tensor(0.7024, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.7134, device='cuda:0'), loss: 0.6478112936019897, valid accuracy: tensor(0.3063, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.7267, device='cuda:0'), loss: 0.5329573750495911, valid accuracy: tensor(0.4551, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.7346, device='cuda:0'), loss: 0.6344476342201233, valid accuracy: tensor(0.4158, device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.7397, device='cuda:0'), loss: 0.5875728726387024, valid accuracy: tensor(0.4858, device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.7516, device='cuda:0'), loss: 0.44859448075294495, valid accuracy: tensor(0.2976, device='cuda:0')
epoch: 13, lr: 0.01, accuracy: tensor(0.7587, device='cuda:0'), loss: 0.5014795660972595, valid accuracy: tensor(0.4442, device='cuda:0')
epoch: 14, lr: 0.01, accuracy: tensor(0.7612, device='cuda:0'), loss: 0.627668559551239, valid accuracy: tensor(0.3523, device='cuda:0')
epoch: 15, lr: 0.01, accuracy: tensor(0.7616, device='cuda:0'), loss: 0.3582393229007721, valid accuracy: tensor(0.2757, device='cuda:0')
epoch: 16, lr: 0.01, accuracy: tensor(0.7713, device='cuda:0'), loss: 0.4485531449317932, valid accuracy: tensor(0.3501, device='cuda:0')
epoch: 17, lr: 0.01, accuracy: tensor(0.7737, device='cuda:0'), loss: 0.6291959881782532, valid accuracy: tensor(0.3742, device='cuda:0')
epoch: 18, lr: 0.01, accuracy: tensor(0.7765, device='cuda:0'), loss: 0.6992085576057434, valid accuracy: tensor(0.3085, device='cuda:0')
epoch: 19, lr: 0.01, accuracy: tensor(0.7803, device='cuda:0'), loss: 0.4058431088924408, valid accuracy: tensor(0.3370, device='cuda:0')
epoch: 20, lr: 0.01, accuracy: tensor(0.7898, device='cuda:0'), loss: 0.7280372977256775, valid accuracy: tensor(0.2626, device='cuda:0')
epoch: 21, lr: 0.01, accuracy: tensor(0.7897, device='cuda:0'), loss: 0.6711999177932739, valid accuracy: tensor(0.2691, device='cuda:0')
epoch: 22, lr: 0.01, accuracy: tensor(0.7916, device='cuda:0'), loss: 0.3653101921081543, valid accuracy: tensor(0.3151, device='cuda:0')
epoch: 23, lr: 0.01, accuracy: tensor(0.7957, device='cuda:0'), loss: 0.5896521806716919, valid accuracy: tensor(0.3107, device='cuda:0')
epoch: 24, lr: 0.01, accuracy: tensor(0.8031, device='cuda:0'), loss: 0.5791228413581848, valid accuracy: tensor(0.2648, device='cuda:0')
epoch: 25, lr: 0.01, accuracy: tensor(0.8000, device='cuda:0'), loss: 0.4638870656490326, valid accuracy: tensor(0.2845, device='cuda:0')
epoch: 26, lr: 0.01, accuracy: tensor(0.8021, device='cuda:0'), loss: 0.45045170187950134, valid accuracy: tensor(0.2888, device='cuda:0')
epoch: 27, lr: 0.01, accuracy: tensor(0.8079, device='cuda:0'), loss: 0.6534844636917114, valid accuracy: tensor(0.2845, device='cuda:0')
epoch: 28, lr: 0.01, accuracy: tensor(0.8026, device='cuda:0'), loss: 0.4530832767486572, valid accuracy: tensor(0.2691, device='cuda:0')
epoch: 29, lr: 0.01, accuracy: tensor(0.8050, device='cuda:0'), loss: 0.5149720907211304, valid accuracy: tensor(0.2779, device='cuda:0')
epoch: 30, lr: 0.01, accuracy: tensor(0.8037, device='cuda:0'), loss: 0.4492112696170807, valid accuracy: tensor(0.2582, device='cuda:0')
epoch: 31, lr: 0.01, accuracy: tensor(0.8098, device='cuda:0'), loss: 0.6055435538291931, valid accuracy: tensor(0.3392, device='cuda:0')
epoch: 32, lr: 0.01, accuracy: tensor(0.8163, device='cuda:0'), loss: 0.5412800908088684, valid accuracy: tensor(0.3501, device='cuda:0')
epoch: 33, lr: 0.01, accuracy: tensor(0.8151, device='cuda:0'), loss: 0.5911681652069092, valid accuracy: tensor(0.2998, device='cuda:0')
epoch: 34, lr: 0.01, accuracy: tensor(0.8131, device='cuda:0'), loss: 0.4861837327480316, valid accuracy: tensor(0.3611, device='cuda:0')
epoch: 35, lr: 0.01, accuracy: tensor(0.8245, device='cuda:0'), loss: 0.655572772026062, valid accuracy: tensor(0.3829, device='cuda:0')
epoch: 36, lr: 0.01, accuracy: tensor(0.8144, device='cuda:0'), loss: 0.5918333530426025, valid accuracy: tensor(0.3370, device='cuda:0')
epoch: 37, lr: 0.01, accuracy: tensor(0.8123, device='cuda:0'), loss: 0.48143425583839417, valid accuracy: tensor(0.2910, device='cuda:0')
epoch: 38, lr: 0.01, accuracy: tensor(0.8250, device='cuda:0'), loss: 0.5494226217269897, valid accuracy: tensor(0.2888, device='cuda:0')
epoch: 39, lr: 0.01, accuracy: tensor(0.8279, device='cuda:0'), loss: 0.4274592995643616, valid accuracy: tensor(0.2910, device='cuda:0')
epoch: 40, lr: 0.01, accuracy: tensor(0.8235, device='cuda:0'), loss: 0.6084326505661011, valid accuracy: tensor(0.3020, device='cuda:0')
epoch: 41, lr: 0.01, accuracy: tensor(0.8233, device='cuda:0'), loss: 0.6084365844726562, valid accuracy: tensor(0.3589, device='cuda:0')
epoch: 42, lr: 0.01, accuracy: tensor(0.8246, device='cuda:0'), loss: 0.37017470598220825, valid accuracy: tensor(0.3085, device='cuda:0')
epoch: 43, lr: 0.01, accuracy: tensor(0.8292, device='cuda:0'), loss: 0.5028562545776367, valid accuracy: tensor(0.3085, device='cuda:0')
epoch: 44, lr: 0.01, accuracy: tensor(0.8398, device='cuda:0'), loss: 0.6221858859062195, valid accuracy: tensor(0.3239, device='cuda:0')
epoch: 45, lr: 0.01, accuracy: tensor(0.8321, device='cuda:0'), loss: 0.4038771986961365, valid accuracy: tensor(0.2867, device='cuda:0')
