-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (12344, 16, 250) Train Lable: (12344, 1)
Test Data: (460, 16, 250) Test Lable: (460, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6288
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 6516
Number of 'non sick' samples: 6288
Maximum Value in Data Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.49527684
Standard Daviation in Data Set: 0.07489619
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 6172
Number of 'non sick' samples: 6172
Maximum Value in Training Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.49464318
Standard Daviation in Data Set: 0.07550226
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 344
Number of 'non sick' samples: 116
Maximum Value in Testing Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.5122768
Standard Daviation in Data Set: 0.053512715
epoch: 0, lr: 0.01, accuracy: tensor(0.4993, device='cuda:0'), loss: 0.6937265992164612, valid accuracy: tensor(0.7478, device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.5459, device='cuda:0'), loss: 0.7150576114654541, valid accuracy: tensor(0.2957, device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.5862, device='cuda:0'), loss: 0.7198761105537415, valid accuracy: tensor(0.7043, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.5929, device='cuda:0'), loss: 0.5617915391921997, valid accuracy: tensor(0.6174, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.6080, device='cuda:0'), loss: 0.6929395794868469, valid accuracy: tensor(0.6391, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.6273, device='cuda:0'), loss: 0.5697364211082458, valid accuracy: tensor(0.6500, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.6530, device='cuda:0'), loss: 0.6175981760025024, valid accuracy: tensor(0.5174, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.6701, device='cuda:0'), loss: 0.6100333333015442, valid accuracy: tensor(0.3804, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.6700, device='cuda:0'), loss: 0.5353206992149353, valid accuracy: tensor(0.5261, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.6798, device='cuda:0'), loss: 0.5047176480293274, valid accuracy: tensor(0.3935, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.6830, device='cuda:0'), loss: 0.6461486220359802, valid accuracy: tensor(0.4696, device='cuda:0')
