-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (45816, 16, 250) Train Lable: (45816, 1)
Test Data: (1824, 16, 250) Test Lable: (1824, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 24732
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 22908
Number of 'non sick' samples: 24732
Maximum Value in Data Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.4895857660592988
Standard Daviation in Data Set: 0.07561770584016739
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 22908
Number of 'non sick' samples: 22908
Maximum Value in Training Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.48845966540634095
Standard Daviation in Data Set: 0.07650526931912283
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 0
Number of 'non sick' samples: 1824
Maximum Value in Testing Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.5178716364079491
Standard Daviation in Data Set: 0.03866051271609326
epoch: 0, lr: 0.01, accuracy: tensor(0.5014, device='cuda:0'), loss: 0.6930839419364929, valid accuracy: tensor(1., device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.4996, device='cuda:0'), loss: 0.6930001378059387, valid accuracy: tensor(1., device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.4993, device='cuda:0'), loss: 0.6931419372558594, valid accuracy: tensor(0.4161, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.5035, device='cuda:0'), loss: 0.6931630969047546, valid accuracy: tensor(1., device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.5014, device='cuda:0'), loss: 0.6936017274856567, valid accuracy: tensor(0., device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.5021, device='cuda:0'), loss: 0.6927073001861572, valid accuracy: tensor(0., device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.5032, device='cuda:0'), loss: 0.6929585933685303, valid accuracy: tensor(0.9677, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.5016, device='cuda:0'), loss: 0.6936160326004028, valid accuracy: tensor(1., device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.5039, device='cuda:0'), loss: 0.6935826539993286, valid accuracy: tensor(0., device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.5084, device='cuda:0'), loss: 0.69294673204422, valid accuracy: tensor(0.6053, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.5075, device='cuda:0'), loss: 0.6930092573165894, valid accuracy: tensor(0., device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.5054, device='cuda:0'), loss: 0.693136990070343, valid accuracy: tensor(0., device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.5194, device='cuda:0'), loss: 0.6927642226219177, valid accuracy: tensor(0.9989, device='cuda:0')
epoch: 13, lr: 0.01, accuracy: tensor(0.4978, device='cuda:0'), loss: 0.6929128766059875, valid accuracy: tensor(0., device='cuda:0')
epoch: 14, lr: 0.01, accuracy: tensor(0.5088, device='cuda:0'), loss: 0.6931877732276917, valid accuracy: tensor(0.8865, device='cuda:0')
epoch: 15, lr: 0.01, accuracy: tensor(0.4979, device='cuda:0'), loss: 0.6928468346595764, valid accuracy: tensor(0., device='cuda:0')
epoch: 16, lr: 0.01, accuracy: tensor(0.5152, device='cuda:0'), loss: 0.6922027468681335, valid accuracy: tensor(1., device='cuda:0')
