-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (11652, 16, 250) Train Lable: (11652, 1)
Test Data: (456, 16, 250) Test Lable: (456, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6282
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 5826
Number of 'non sick' samples: 6282
Maximum Value in Data Set: 495.9776306152344
Minimum Value in Data Set: -563.4595947265625
Mean Value in Data Set: 0.006246425296975557
Standard Daviation in Data Set: 10.55956109903536
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 5826
Number of 'non sick' samples: 5826
Maximum Value in Training Set: 495.9776306152344
Minimum Value in Data Set: -563.4595947265625
Mean Value in Data Set: 0.005712279432765611
Standard Daviation in Data Set: 10.634702836071128
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 0
Number of 'non sick' samples: 456
Maximum Value in Testing Set: 167.15382385253906
Minimum Value in Data Set: -90.29476928710938
Mean Value in Data Set: 0.019895257774550684
Standard Daviation in Data Set: 8.41484909332908
epoch: 0, lr: 0.002, accuracy: tensor(0.5019, device='cuda:0'), loss: 0.8132618069648743, valid accuracy: tensor(0., device='cuda:0')
epoch: 1, lr: 0.002, accuracy: tensor(0.5039, device='cuda:0'), loss: 0.7299284934997559, valid accuracy: tensor(0.9890, device='cuda:0')
epoch: 2, lr: 0.002, accuracy: tensor(0.4994, device='cuda:0'), loss: 0.8965952396392822, valid accuracy: tensor(1., device='cuda:0')
epoch: 3, lr: 0.002, accuracy: tensor(0.5059, device='cuda:0'), loss: 0.8132618069648743, valid accuracy: tensor(1., device='cuda:0')
epoch: 4, lr: 0.002, accuracy: tensor(0.5002, device='cuda:0'), loss: 0.8132619261741638, valid accuracy: tensor(1., device='cuda:0')
epoch: 5, lr: 0.002, accuracy: tensor(0.4859, device='cuda:0'), loss: 0.8965952396392822, valid accuracy: tensor(0.0022, device='cuda:0')
epoch: 6, lr: 0.002, accuracy: tensor(0.5026, device='cuda:0'), loss: 0.5632618069648743, valid accuracy: tensor(0.8421, device='cuda:0')
epoch: 7, lr: 0.002, accuracy: tensor(0.5045, device='cuda:0'), loss: 0.8965952396392822, valid accuracy: tensor(0.9320, device='cuda:0')
epoch: 8, lr: 0.002, accuracy: tensor(0.4984, device='cuda:0'), loss: 0.7299284934997559, valid accuracy: tensor(0.0088, device='cuda:0')
epoch: 9, lr: 0.002, accuracy: tensor(0.4937, device='cuda:0'), loss: 0.6465951800346375, valid accuracy: tensor(1., device='cuda:0')
epoch: 10, lr: 0.002, accuracy: tensor(0.5023, device='cuda:0'), loss: 1.063261866569519, valid accuracy: tensor(0.0088, device='cuda:0')
epoch: 11, lr: 0.002, accuracy: tensor(0.4979, device='cuda:0'), loss: 0.8965952396392822, valid accuracy: tensor(0.2083, device='cuda:0')
epoch: 12, lr: 0.002, accuracy: tensor(0.4926, device='cuda:0'), loss: 0.47992849349975586, valid accuracy: tensor(0.8706, device='cuda:0')
epoch: 13, lr: 0.002, accuracy: tensor(0.4985, device='cuda:0'), loss: 0.9799285531044006, valid accuracy: tensor(0.9671, device='cuda:0')
epoch: 14, lr: 0.002, accuracy: tensor(0.4999, device='cuda:0'), loss: 0.8965952396392822, valid accuracy: tensor(1., device='cuda:0')
epoch: 15, lr: 0.002, accuracy: tensor(0.4990, device='cuda:0'), loss: 0.8965952396392822, valid accuracy: tensor(0.0044, device='cuda:0')
epoch: 16, lr: 0.002, accuracy: tensor(0.5096, device='cuda:0'), loss: 0.8132618069648743, valid accuracy: tensor(0.3311, device='cuda:0')
epoch: 17, lr: 0.002, accuracy: tensor(0.5025, device='cuda:0'), loss: 0.8132618069648743, valid accuracy: tensor(0., device='cuda:0')
