-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (12564, 16, 250) Train Lable: (12564, 1)
Test Data: (454, 16, 250) Test Lable: (454, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6282
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 6736
Number of 'non sick' samples: 6282
Maximum Value in Data Set: 49.00199471050985
Minimum Value in Data Set: -94.28995680486406
Mean Value in Data Set: 0.00020309975291416045
Standard Daviation in Data Set: 0.9903649230237831
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 6282
Number of 'non sick' samples: 6282
Maximum Value in Training Set: 49.00199471050985
Minimum Value in Data Set: -94.28995680486406
Mean Value in Data Set: 0.00021043876022258426
Standard Daviation in Data Set: 0.9900150034187852
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 454
Number of 'non sick' samples: 0
Maximum Value in Testing Set: 26.57848466777857
Minimum Value in Data Set: -28.364283201365854
Mean Value in Data Set: -1.1714564707410462e-17
Standard Daviation in Data Set: 0.9999999999999999
epoch: 0, lr: 0.002, accuracy: tensor(0.5530, device='cuda:0'), loss: 0.6046779155731201, valid accuracy: tensor(0.9912, device='cuda:0')
epoch: 1, lr: 0.002, accuracy: tensor(0.5727, device='cuda:0'), loss: 0.6946408748626709, valid accuracy: tensor(0.9912, device='cuda:0')
epoch: 2, lr: 0.002, accuracy: tensor(0.5689, device='cuda:0'), loss: 0.5574456453323364, valid accuracy: tensor(0.9890, device='cuda:0')
epoch: 3, lr: 0.002, accuracy: tensor(0.5743, device='cuda:0'), loss: 0.6960678100585938, valid accuracy: tensor(0.9912, device='cuda:0')
epoch: 4, lr: 0.002, accuracy: tensor(0.5806, device='cuda:0'), loss: 0.6975008249282837, valid accuracy: tensor(0.9912, device='cuda:0')
epoch: 5, lr: 0.002, accuracy: tensor(0.5819, device='cuda:0'), loss: 0.638451874256134, valid accuracy: tensor(0.5352, device='cuda:0')
epoch: 6, lr: 0.002, accuracy: tensor(0.5906, device='cuda:0'), loss: 0.6989499926567078, valid accuracy: tensor(0.5132, device='cuda:0')
epoch: 7, lr: 0.002, accuracy: tensor(0.6074, device='cuda:0'), loss: 0.577172040939331, valid accuracy: tensor(0.5264, device='cuda:0')
epoch: 8, lr: 0.002, accuracy: tensor(0.5957, device='cuda:0'), loss: 0.6491740942001343, valid accuracy: tensor(0.5242, device='cuda:0')
epoch: 9, lr: 0.002, accuracy: tensor(0.5985, device='cuda:0'), loss: 0.6314107775688171, valid accuracy: tensor(0.2335, device='cuda:0')
epoch: 10, lr: 0.002, accuracy: tensor(0.5979, device='cuda:0'), loss: 0.5231888890266418, valid accuracy: tensor(0.0815, device='cuda:0')
epoch: 11, lr: 0.002, accuracy: tensor(0.6030, device='cuda:0'), loss: 0.6849648952484131, valid accuracy: tensor(0.0727, device='cuda:0')
epoch: 12, lr: 0.002, accuracy: tensor(0.6043, device='cuda:0'), loss: 0.6591977477073669, valid accuracy: tensor(0.2401, device='cuda:0')
epoch: 13, lr: 0.002, accuracy: tensor(0.6042, device='cuda:0'), loss: 0.6782621145248413, valid accuracy: tensor(0.1762, device='cuda:0')
epoch: 14, lr: 0.002, accuracy: tensor(0.6067, device='cuda:0'), loss: 0.6205009818077087, valid accuracy: tensor(0.1806, device='cuda:0')
epoch: 15, lr: 0.002, accuracy: tensor(0.5986, device='cuda:0'), loss: 0.6232142448425293, valid accuracy: tensor(0.0683, device='cuda:0')
epoch: 16, lr: 0.002, accuracy: tensor(0.6027, device='cuda:0'), loss: 0.5129991769790649, valid accuracy: tensor(0.0683, device='cuda:0')
epoch: 17, lr: 0.002, accuracy: tensor(0.6013, device='cuda:0'), loss: 0.6256199479103088, valid accuracy: tensor(0.1564, device='cuda:0')
epoch: 18, lr: 0.002, accuracy: tensor(0.6018, device='cuda:0'), loss: 0.5813030004501343, valid accuracy: tensor(0.0837, device='cuda:0')
epoch: 19, lr: 0.002, accuracy: tensor(0.6025, device='cuda:0'), loss: 0.5792137384414673, valid accuracy: tensor(0.1233, device='cuda:0')
epoch: 20, lr: 0.002, accuracy: tensor(0.6024, device='cuda:0'), loss: 0.694695234298706, valid accuracy: tensor(0.1564, device='cuda:0')
epoch: 21, lr: 0.002, accuracy: tensor(0.6091, device='cuda:0'), loss: 0.6656892895698547, valid accuracy: tensor(0.1300, device='cuda:0')
epoch: 22, lr: 0.002, accuracy: tensor(0.6058, device='cuda:0'), loss: 0.7262056469917297, valid accuracy: tensor(0.1366, device='cuda:0')
epoch: 23, lr: 0.002, accuracy: tensor(0.6020, device='cuda:0'), loss: 0.7325870990753174, valid accuracy: tensor(0.1630, device='cuda:0')
epoch: 24, lr: 0.002, accuracy: tensor(0.6080, device='cuda:0'), loss: 0.6201050281524658, valid accuracy: tensor(0.1652, device='cuda:0')
epoch: 25, lr: 0.002, accuracy: tensor(0.6046, device='cuda:0'), loss: 0.7717761993408203, valid accuracy: tensor(0.4692, device='cuda:0')
epoch: 26, lr: 0.002, accuracy: tensor(0.6019, device='cuda:0'), loss: 0.6078476905822754, valid accuracy: tensor(0.0683, device='cuda:0')
epoch: 27, lr: 0.002, accuracy: tensor(0.6057, device='cuda:0'), loss: 0.6314279437065125, valid accuracy: tensor(0.1057, device='cuda:0')
epoch: 28, lr: 0.002, accuracy: tensor(0.6049, device='cuda:0'), loss: 0.5965777039527893, valid accuracy: tensor(0.1256, device='cuda:0')
epoch: 29, lr: 0.002, accuracy: tensor(0.6067, device='cuda:0'), loss: 0.6984326839447021, valid accuracy: tensor(0.1057, device='cuda:0')
