-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (12564, 16, 250) Train Lable: (12564, 1)
Test Data: (451, 16, 250) Test Lable: (451, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6282
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 6733
Number of 'non sick' samples: 6282
Maximum Value in Data Set: 49.310478742642374
Minimum Value in Data Set: -51.07434866301048
Mean Value in Data Set: 0.0014224892398113
Standard Daviation in Data Set: 0.9829536140049789
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 6282
Number of 'non sick' samples: 6282
Maximum Value in Training Set: 49.310478742642374
Minimum Value in Data Set: -51.07434866301048
Mean Value in Data Set: 0.0014735512142744418
Standard Daviation in Data Set: 0.9823361753430587
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 451
Number of 'non sick' samples: 0
Maximum Value in Testing Set: 9.107890503231474
Minimum Value in Data Set: -10.291195022956972
Mean Value in Data Set: -7.058162874069288e-17
Standard Daviation in Data Set: 1.0000000000000002
epoch: 0, lr: 0.002, accuracy: tensor(0.5305, device='cuda:0'), loss: 0.6757926344871521, valid accuracy: tensor(1., device='cuda:0')
epoch: 1, lr: 0.002, accuracy: tensor(0.5466, device='cuda:0'), loss: 0.5905066728591919, valid accuracy: tensor(0.9911, device='cuda:0')
epoch: 2, lr: 0.002, accuracy: tensor(0.5448, device='cuda:0'), loss: 0.6629842519760132, valid accuracy: tensor(0.9911, device='cuda:0')
epoch: 3, lr: 0.002, accuracy: tensor(0.5490, device='cuda:0'), loss: 0.747728705406189, valid accuracy: tensor(0.9933, device='cuda:0')
epoch: 4, lr: 0.002, accuracy: tensor(0.5465, device='cuda:0'), loss: 0.6763651371002197, valid accuracy: tensor(0.9978, device='cuda:0')
epoch: 5, lr: 0.002, accuracy: tensor(0.5420, device='cuda:0'), loss: 0.6918286681175232, valid accuracy: tensor(1., device='cuda:0')
epoch: 6, lr: 0.002, accuracy: tensor(0.5417, device='cuda:0'), loss: 0.6117241978645325, valid accuracy: tensor(0.9911, device='cuda:0')
epoch: 7, lr: 0.002, accuracy: tensor(0.5454, device='cuda:0'), loss: 0.7102329730987549, valid accuracy: tensor(1., device='cuda:0')
epoch: 8, lr: 0.002, accuracy: tensor(0.5418, device='cuda:0'), loss: 0.7757295370101929, valid accuracy: tensor(0.9911, device='cuda:0')
epoch: 9, lr: 0.002, accuracy: tensor(0.5453, device='cuda:0'), loss: 0.6638212203979492, valid accuracy: tensor(1., device='cuda:0')
epoch: 10, lr: 0.002, accuracy: tensor(0.5433, device='cuda:0'), loss: 0.587563157081604, valid accuracy: tensor(1., device='cuda:0')
