-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (11652, 16, 250) Train Lable: (11652, 1)
Test Data: (456, 16, 250) Test Lable: (456, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6282
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 5826
Number of 'non sick' samples: 6282
Maximum Value in Data Set: 41.370013909228376
Minimum Value in Data Set: -55.72778107144029
Mean Value in Data Set: 0.0009949094233424826
Standard Daviation in Data Set: 0.9460449561636242
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 5826
Number of 'non sick' samples: 5826
Maximum Value in Training Set: 41.370013909228376
Minimum Value in Data Set: -55.72778107144029
Mean Value in Data Set: 0.0010338451165319918
Standard Daviation in Data Set: 0.9438706979601701
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 0
Number of 'non sick' samples: 456
Maximum Value in Testing Set: 19.861785605550658
Minimum Value in Data Set: -10.732772928332297
Mean Value in Data Set: 1.008939520624265e-17
Standard Daviation in Data Set: 0.9999999999999997
epoch: 0, lr: 0.01, accuracy: tensor(0.5560, device='cuda:0'), loss: 0.5840075016021729, valid accuracy: tensor(0.0088, device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.5728, device='cuda:0'), loss: 0.6891195178031921, valid accuracy: tensor(0.8355, device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.5876, device='cuda:0'), loss: 0.5981093049049377, valid accuracy: tensor(0.4408, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.6070, device='cuda:0'), loss: 0.6345751881599426, valid accuracy: tensor(0.4101, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.6147, device='cuda:0'), loss: 0.5850367546081543, valid accuracy: tensor(0.6776, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.6088, device='cuda:0'), loss: 0.6764100193977356, valid accuracy: tensor(0.2456, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.6168, device='cuda:0'), loss: 0.5999481081962585, valid accuracy: tensor(0.5965, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.6096, device='cuda:0'), loss: 0.7149549126625061, valid accuracy: tensor(0.5592, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.6129, device='cuda:0'), loss: 0.6372263431549072, valid accuracy: tensor(0.6031, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.6164, device='cuda:0'), loss: 0.5816925168037415, valid accuracy: tensor(0.4254, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.6195, device='cuda:0'), loss: 0.5379796028137207, valid accuracy: tensor(0.3618, device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.6189, device='cuda:0'), loss: 0.5932525992393494, valid accuracy: tensor(0.3838, device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.6221, device='cuda:0'), loss: 0.6905362010002136, valid accuracy: tensor(0.3706, device='cuda:0')
epoch: 13, lr: 0.01, accuracy: tensor(0.6221, device='cuda:0'), loss: 0.5936934351921082, valid accuracy: tensor(0.6557, device='cuda:0')
epoch: 14, lr: 0.01, accuracy: tensor(0.6206, device='cuda:0'), loss: 0.6278705596923828, valid accuracy: tensor(0.1294, device='cuda:0')
epoch: 15, lr: 0.01, accuracy: tensor(0.6133, device='cuda:0'), loss: 0.5343956351280212, valid accuracy: tensor(0.4803, device='cuda:0')
epoch: 16, lr: 0.01, accuracy: tensor(0.6229, device='cuda:0'), loss: 0.49460700154304504, valid accuracy: tensor(0.1294, device='cuda:0')
epoch: 17, lr: 0.01, accuracy: tensor(0.6250, device='cuda:0'), loss: 0.6272889375686646, valid accuracy: tensor(0.3969, device='cuda:0')
epoch: 18, lr: 0.01, accuracy: tensor(0.6165, device='cuda:0'), loss: 0.6538577675819397, valid accuracy: tensor(0.1425, device='cuda:0')
epoch: 19, lr: 0.01, accuracy: tensor(0.6210, device='cuda:0'), loss: 0.6332799792289734, valid accuracy: tensor(0.1096, device='cuda:0')
epoch: 20, lr: 0.01, accuracy: tensor(0.6250, device='cuda:0'), loss: 0.6786836981773376, valid accuracy: tensor(0.4868, device='cuda:0')
epoch: 21, lr: 0.01, accuracy: tensor(0.6232, device='cuda:0'), loss: 0.6880027651786804, valid accuracy: tensor(0.1711, device='cuda:0')
epoch: 22, lr: 0.01, accuracy: tensor(0.6256, device='cuda:0'), loss: 0.6544984579086304, valid accuracy: tensor(0.3991, device='cuda:0')
epoch: 23, lr: 0.01, accuracy: tensor(0.6183, device='cuda:0'), loss: 0.6397603154182434, valid accuracy: tensor(0.4145, device='cuda:0')
epoch: 24, lr: 0.01, accuracy: tensor(0.6227, device='cuda:0'), loss: 0.5579351186752319, valid accuracy: tensor(0.8114, device='cuda:0')
epoch: 25, lr: 0.01, accuracy: tensor(0.6197, device='cuda:0'), loss: 0.5722112059593201, valid accuracy: tensor(0.3377, device='cuda:0')
epoch: 26, lr: 0.01, accuracy: tensor(0.6232, device='cuda:0'), loss: 0.6322978138923645, valid accuracy: tensor(0.6360, device='cuda:0')
epoch: 27, lr: 0.01, accuracy: tensor(0.6180, device='cuda:0'), loss: 0.5769150853157043, valid accuracy: tensor(0.3487, device='cuda:0')
epoch: 28, lr: 0.01, accuracy: tensor(0.6226, device='cuda:0'), loss: 0.5713252425193787, valid accuracy: tensor(0.2412, device='cuda:0')
epoch: 29, lr: 0.01, accuracy: tensor(0.6257, device='cuda:0'), loss: 0.5975788235664368, valid accuracy: tensor(0.2368, device='cuda:0')
epoch: 30, lr: 0.01, accuracy: tensor(0.6231, device='cuda:0'), loss: 0.6460714340209961, valid accuracy: tensor(0.4430, device='cuda:0')
epoch: 31, lr: 0.01, accuracy: tensor(0.6265, device='cuda:0'), loss: 0.5942814946174622, valid accuracy: tensor(0.4737, device='cuda:0')
epoch: 32, lr: 0.01, accuracy: tensor(0.6204, device='cuda:0'), loss: 0.649656355381012, valid accuracy: tensor(0.2325, device='cuda:0')
epoch: 33, lr: 0.01, accuracy: tensor(0.6198, device='cuda:0'), loss: 0.5341339111328125, valid accuracy: tensor(0.5132, device='cuda:0')
epoch: 34, lr: 0.01, accuracy: tensor(0.6165, device='cuda:0'), loss: 0.6091689467430115, valid accuracy: tensor(0.4759, device='cuda:0')
epoch: 35, lr: 0.01, accuracy: tensor(0.6205, device='cuda:0'), loss: 0.6902182102203369, valid accuracy: tensor(0.4057, device='cuda:0')
epoch: 36, lr: 0.01, accuracy: tensor(0.6243, device='cuda:0'), loss: 0.5871440768241882, valid accuracy: tensor(0.1557, device='cuda:0')
epoch: 37, lr: 0.01, accuracy: tensor(0.6176, device='cuda:0'), loss: 0.6325826048851013, valid accuracy: tensor(0.5702, device='cuda:0')
epoch: 38, lr: 0.01, accuracy: tensor(0.6208, device='cuda:0'), loss: 0.6693161129951477, valid accuracy: tensor(0.1360, device='cuda:0')
epoch: 39, lr: 0.01, accuracy: tensor(0.6230, device='cuda:0'), loss: 0.7234746813774109, valid accuracy: tensor(0.4496, device='cuda:0')
epoch: 40, lr: 0.01, accuracy: tensor(0.6228, device='cuda:0'), loss: 0.6010201573371887, valid accuracy: tensor(0.2083, device='cuda:0')
epoch: 41, lr: 0.01, accuracy: tensor(0.6214, device='cuda:0'), loss: 0.6515491604804993, valid accuracy: tensor(0.4890, device='cuda:0')
epoch: 42, lr: 0.01, accuracy: tensor(0.6235, device='cuda:0'), loss: 0.640540361404419, valid accuracy: tensor(0.6206, device='cuda:0')
epoch: 43, lr: 0.01, accuracy: tensor(0.6250, device='cuda:0'), loss: 0.5878787636756897, valid accuracy: tensor(0.4408, device='cuda:0')
