-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (12564, 16, 250) Train Lable: (12564, 1)
Test Data: (456, 16, 250) Test Lable: (456, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6282
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 6738
Number of 'non sick' samples: 6282
Maximum Value in Data Set: 13.814808201991166
Minimum Value in Data Set: -11.960402182859774
Mean Value in Data Set: 0.00023457958145868798
Standard Daviation in Data Set: 0.9825226145818831
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 6282
Number of 'non sick' samples: 6282
Maximum Value in Training Set: 13.814808201991166
Minimum Value in Data Set: -11.345963682920527
Mean Value in Data Set: 0.00024309345356511705
Standard Daviation in Data Set: 0.9818824359098798
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 456
Number of 'non sick' samples: 0
Maximum Value in Testing Set: 7.401917659920854
Minimum Value in Data Set: -11.960402182859774
Mean Value in Data Set: 4.786814219857517e-17
Standard Daviation in Data Set: 1.0000000000000004
epoch: 0, lr: 0.01, accuracy: tensor(0.6061, device='cuda:0'), loss: 0.5212512016296387, valid accuracy: tensor(0.4320, device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.7472, device='cuda:0'), loss: 0.37883543968200684, valid accuracy: tensor(0.4101, device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.7718, device='cuda:0'), loss: 0.5846843719482422, valid accuracy: tensor(0.4803, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.7853, device='cuda:0'), loss: 0.3292679488658905, valid accuracy: tensor(0.4386, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.7921, device='cuda:0'), loss: 0.6875303983688354, valid accuracy: tensor(0.5921, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.8050, device='cuda:0'), loss: 1.0290268659591675, valid accuracy: tensor(0.6009, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.8128, device='cuda:0'), loss: 0.3132624328136444, valid accuracy: tensor(0.2961, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.8223, device='cuda:0'), loss: 0.34472328424453735, valid accuracy: tensor(0.5614, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.8324, device='cuda:0'), loss: 0.3135650157928467, valid accuracy: tensor(0.3991, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.8367, device='cuda:0'), loss: 0.5545942783355713, valid accuracy: tensor(0.4781, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.8413, device='cuda:0'), loss: 0.35578349232673645, valid accuracy: tensor(0.4518, device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.8483, device='cuda:0'), loss: 0.32476377487182617, valid accuracy: tensor(0.6140, device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.8540, device='cuda:0'), loss: 0.3163563013076782, valid accuracy: tensor(0.3531, device='cuda:0')
epoch: 13, lr: 0.01, accuracy: tensor(0.8558, device='cuda:0'), loss: 0.31622058153152466, valid accuracy: tensor(0.3728, device='cuda:0')
epoch: 14, lr: 0.01, accuracy: tensor(0.8567, device='cuda:0'), loss: 0.5459663271903992, valid accuracy: tensor(0.4868, device='cuda:0')
epoch: 15, lr: 0.01, accuracy: tensor(0.8660, device='cuda:0'), loss: 0.3132617771625519, valid accuracy: tensor(0.2895, device='cuda:0')
epoch: 16, lr: 0.01, accuracy: tensor(0.8649, device='cuda:0'), loss: 0.5619630813598633, valid accuracy: tensor(0.3553, device='cuda:0')
epoch: 17, lr: 0.01, accuracy: tensor(0.8754, device='cuda:0'), loss: 0.5642874240875244, valid accuracy: tensor(0.4561, device='cuda:0')
epoch: 18, lr: 0.01, accuracy: tensor(0.8812, device='cuda:0'), loss: 0.32491227984428406, valid accuracy: tensor(0.5044, device='cuda:0')
epoch: 19, lr: 0.01, accuracy: tensor(0.8730, device='cuda:0'), loss: 0.5667735934257507, valid accuracy: tensor(0.1491, device='cuda:0')
epoch: 20, lr: 0.01, accuracy: tensor(0.8815, device='cuda:0'), loss: 0.3271929621696472, valid accuracy: tensor(0.4759, device='cuda:0')
epoch: 21, lr: 0.01, accuracy: tensor(0.8825, device='cuda:0'), loss: 0.33604201674461365, valid accuracy: tensor(0.4430, device='cuda:0')
epoch: 22, lr: 0.01, accuracy: tensor(0.8812, device='cuda:0'), loss: 0.3132782280445099, valid accuracy: tensor(0.3311, device='cuda:0')
epoch: 23, lr: 0.01, accuracy: tensor(0.8883, device='cuda:0'), loss: 0.39324408769607544, valid accuracy: tensor(0.2390, device='cuda:0')
epoch: 24, lr: 0.01, accuracy: tensor(0.8822, device='cuda:0'), loss: 0.3640648424625397, valid accuracy: tensor(0.2851, device='cuda:0')
epoch: 25, lr: 0.01, accuracy: tensor(0.8906, device='cuda:0'), loss: 0.3132629990577698, valid accuracy: tensor(0.3224, device='cuda:0')
epoch: 26, lr: 0.01, accuracy: tensor(0.8869, device='cuda:0'), loss: 0.39468690752983093, valid accuracy: tensor(0.4386, device='cuda:0')
epoch: 27, lr: 0.01, accuracy: tensor(0.8938, device='cuda:0'), loss: 0.4503912329673767, valid accuracy: tensor(0.3333, device='cuda:0')
epoch: 28, lr: 0.01, accuracy: tensor(0.8780, device='cuda:0'), loss: 0.3160994052886963, valid accuracy: tensor(0.3816, device='cuda:0')
epoch: 29, lr: 0.01, accuracy: tensor(0.9019, device='cuda:0'), loss: 0.802139401435852, valid accuracy: tensor(0.3860, device='cuda:0')
epoch: 30, lr: 0.01, accuracy: tensor(0.8997, device='cuda:0'), loss: 0.3132617771625519, valid accuracy: tensor(0.4803, device='cuda:0')
epoch: 31, lr: 0.01, accuracy: tensor(0.8862, device='cuda:0'), loss: 0.33755022287368774, valid accuracy: tensor(0.3092, device='cuda:0')
epoch: 32, lr: 0.01, accuracy: tensor(0.9044, device='cuda:0'), loss: 0.31327134370803833, valid accuracy: tensor(0.1996, device='cuda:0')
epoch: 33, lr: 0.01, accuracy: tensor(0.9031, device='cuda:0'), loss: 0.37005072832107544, valid accuracy: tensor(0.3925, device='cuda:0')
epoch: 34, lr: 0.01, accuracy: tensor(0.9119, device='cuda:0'), loss: 0.31444698572158813, valid accuracy: tensor(0.3465, device='cuda:0')
