-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (12576, 16, 250) Train Lable: (12576, 1)
Test Data: (456, 16, 250) Test Lable: (456, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6288
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 6744
Number of 'non sick' samples: 6288
Maximum Value in Data Set: 33.790295
Minimum Value in Data Set: -37.945118
Mean Value in Data Set: 0.0010072322
Standard Daviation in Data Set: 0.9997939
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 6288
Number of 'non sick' samples: 6288
Maximum Value in Training Set: 33.790295
Minimum Value in Data Set: -37.945118
Mean Value in Data Set: 0.0010437539
Standard Daviation in Data Set: 0.99978614
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 456
Number of 'non sick' samples: 0
Maximum Value in Testing Set: 11.536389
Minimum Value in Data Set: -11.071125
Mean Value in Data Set: 9.001347e-09
Standard Daviation in Data Set: 0.9999999
epoch: 0, lr: 0.01, accuracy: tensor(0.5072, device='cuda:0'), loss: 0.6917561292648315, valid accuracy: tensor(0.8202, device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.5460, device='cuda:0'), loss: 0.70803302526474, valid accuracy: tensor(0.2917, device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.6075, device='cuda:0'), loss: 0.7014532089233398, valid accuracy: tensor(0.1469, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.6513, device='cuda:0'), loss: 0.7504916787147522, valid accuracy: tensor(0.0768, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.6776, device='cuda:0'), loss: 0.5541571378707886, valid accuracy: tensor(0.0965, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.6904, device='cuda:0'), loss: 0.6917521953582764, valid accuracy: tensor(0.1886, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.7056, device='cuda:0'), loss: 0.7699702978134155, valid accuracy: tensor(0.3311, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.7192, device='cuda:0'), loss: 0.6306968927383423, valid accuracy: tensor(0.1886, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.7277, device='cuda:0'), loss: 0.4794919788837433, valid accuracy: tensor(0.1798, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.7304, device='cuda:0'), loss: 0.5194482803344727, valid accuracy: tensor(0.3750, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.7392, device='cuda:0'), loss: 0.515647828578949, valid accuracy: tensor(0.4803, device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.7461, device='cuda:0'), loss: 0.6311608552932739, valid accuracy: tensor(0.4912, device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.7486, device='cuda:0'), loss: 0.652099072933197, valid accuracy: tensor(0.3136, device='cuda:0')
epoch: 13, lr: 0.01, accuracy: tensor(0.7490, device='cuda:0'), loss: 0.5702133774757385, valid accuracy: tensor(0.3202, device='cuda:0')
epoch: 14, lr: 0.01, accuracy: tensor(0.7599, device='cuda:0'), loss: 0.38926857709884644, valid accuracy: tensor(0.2961, device='cuda:0')
epoch: 15, lr: 0.01, accuracy: tensor(0.7650, device='cuda:0'), loss: 0.49119997024536133, valid accuracy: tensor(0.5351, device='cuda:0')
epoch: 16, lr: 0.01, accuracy: tensor(0.7714, device='cuda:0'), loss: 0.5991054773330688, valid accuracy: tensor(0.1118, device='cuda:0')
epoch: 17, lr: 0.01, accuracy: tensor(0.7750, device='cuda:0'), loss: 0.5198829174041748, valid accuracy: tensor(0.1338, device='cuda:0')
epoch: 18, lr: 0.01, accuracy: tensor(0.7770, device='cuda:0'), loss: 0.4491982161998749, valid accuracy: tensor(0.2237, device='cuda:0')
epoch: 19, lr: 0.01, accuracy: tensor(0.7801, device='cuda:0'), loss: 0.5179163217544556, valid accuracy: tensor(0.6557, device='cuda:0')
epoch: 20, lr: 0.01, accuracy: tensor(0.7854, device='cuda:0'), loss: 0.45255473256111145, valid accuracy: tensor(0.6140, device='cuda:0')
epoch: 21, lr: 0.01, accuracy: tensor(0.7886, device='cuda:0'), loss: 0.5466383695602417, valid accuracy: tensor(0.4167, device='cuda:0')
epoch: 22, lr: 0.01, accuracy: tensor(0.7937, device='cuda:0'), loss: 0.4985007047653198, valid accuracy: tensor(0.4364, device='cuda:0')
epoch: 23, lr: 0.01, accuracy: tensor(0.7982, device='cuda:0'), loss: 0.6509346961975098, valid accuracy: tensor(0.1294, device='cuda:0')
epoch: 24, lr: 0.01, accuracy: tensor(0.7985, device='cuda:0'), loss: 0.32761746644973755, valid accuracy: tensor(0.3004, device='cuda:0')
epoch: 25, lr: 0.01, accuracy: tensor(0.8061, device='cuda:0'), loss: 0.4763821065425873, valid accuracy: tensor(0.4145, device='cuda:0')
epoch: 26, lr: 0.01, accuracy: tensor(0.8065, device='cuda:0'), loss: 0.4221200942993164, valid accuracy: tensor(0.1250, device='cuda:0')
epoch: 27, lr: 0.01, accuracy: tensor(0.8063, device='cuda:0'), loss: 0.47309496998786926, valid accuracy: tensor(0.0921, device='cuda:0')
epoch: 28, lr: 0.01, accuracy: tensor(0.8095, device='cuda:0'), loss: 0.6217063069343567, valid accuracy: tensor(0.3728, device='cuda:0')
epoch: 29, lr: 0.01, accuracy: tensor(0.8115, device='cuda:0'), loss: 0.39494800567626953, valid accuracy: tensor(0.1996, device='cuda:0')
epoch: 30, lr: 0.01, accuracy: tensor(0.8134, device='cuda:0'), loss: 0.4753345847129822, valid accuracy: tensor(0.2039, device='cuda:0')
epoch: 31, lr: 0.01, accuracy: tensor(0.8147, device='cuda:0'), loss: 0.5939112305641174, valid accuracy: tensor(0.6447, device='cuda:0')
epoch: 32, lr: 0.01, accuracy: tensor(0.8185, device='cuda:0'), loss: 0.4844774901866913, valid accuracy: tensor(0.1272, device='cuda:0')
epoch: 33, lr: 0.01, accuracy: tensor(0.8142, device='cuda:0'), loss: 0.35008758306503296, valid accuracy: tensor(0.3816, device='cuda:0')
epoch: 34, lr: 0.01, accuracy: tensor(0.8233, device='cuda:0'), loss: 0.5863224267959595, valid accuracy: tensor(0.2368, device='cuda:0')
epoch: 35, lr: 0.01, accuracy: tensor(0.8132, device='cuda:0'), loss: 0.4835243225097656, valid accuracy: tensor(0.3289, device='cuda:0')
epoch: 36, lr: 0.01, accuracy: tensor(0.8299, device='cuda:0'), loss: 0.5568511486053467, valid accuracy: tensor(0.4101, device='cuda:0')
epoch: 37, lr: 0.01, accuracy: tensor(0.8246, device='cuda:0'), loss: 0.561987578868866, valid accuracy: tensor(0.4627, device='cuda:0')
epoch: 38, lr: 0.01, accuracy: tensor(0.8228, device='cuda:0'), loss: 0.5441980957984924, valid accuracy: tensor(0.1491, device='cuda:0')
epoch: 39, lr: 0.01, accuracy: tensor(0.8312, device='cuda:0'), loss: 0.5089382529258728, valid accuracy: tensor(0.5285, device='cuda:0')
epoch: 40, lr: 0.01, accuracy: tensor(0.8317, device='cuda:0'), loss: 0.5080199241638184, valid accuracy: tensor(0.2390, device='cuda:0')
epoch: 41, lr: 0.01, accuracy: tensor(0.8294, device='cuda:0'), loss: 0.4366157650947571, valid accuracy: tensor(0.6118, device='cuda:0')
epoch: 42, lr: 0.01, accuracy: tensor(0.8275, device='cuda:0'), loss: 0.4443826377391815, valid accuracy: tensor(0.3224, device='cuda:0')
epoch: 43, lr: 0.01, accuracy: tensor(0.8418, device='cuda:0'), loss: 0.34770089387893677, valid accuracy: tensor(0.5855, device='cuda:0')
epoch: 44, lr: 0.01, accuracy: tensor(0.8422, device='cuda:0'), loss: 0.41614648699760437, valid accuracy: tensor(0.0943, device='cuda:0')
epoch: 45, lr: 0.01, accuracy: tensor(0.8426, device='cuda:0'), loss: 0.555687427520752, valid accuracy: tensor(0.2873, device='cuda:0')
epoch: 46, lr: 0.01, accuracy: tensor(0.8371, device='cuda:0'), loss: 0.4207826852798462, valid accuracy: tensor(0.1491, device='cuda:0')
epoch: 47, lr: 0.01, accuracy: tensor(0.8441, device='cuda:0'), loss: 0.5620679259300232, valid accuracy: tensor(0.1360, device='cuda:0')
epoch: 48, lr: 0.01, accuracy: tensor(0.8422, device='cuda:0'), loss: 0.388734370470047, valid accuracy: tensor(0.4211, device='cuda:0')
epoch: 49, lr: 0.01, accuracy: tensor(0.8375, device='cuda:0'), loss: 0.45384952425956726, valid accuracy: tensor(0.4868, device='cuda:0')
epoch: 50, lr: 0.01, accuracy: tensor(0.8496, device='cuda:0'), loss: 0.39539939165115356, valid accuracy: tensor(0.4671, device='cuda:0')
epoch: 51, lr: 0.01, accuracy: tensor(0.8459, device='cuda:0'), loss: 0.5843165516853333, valid accuracy: tensor(0.3004, device='cuda:0')
epoch: 52, lr: 0.01, accuracy: tensor(0.8502, device='cuda:0'), loss: 0.41678333282470703, valid accuracy: tensor(0.4386, device='cuda:0')
epoch: 53, lr: 0.01, accuracy: tensor(0.8547, device='cuda:0'), loss: 0.4476863741874695, valid accuracy: tensor(0.3969, device='cuda:0')
epoch: 54, lr: 0.01, accuracy: tensor(0.8551, device='cuda:0'), loss: 0.42659515142440796, valid accuracy: tensor(0.4561, device='cuda:0')
epoch: 55, lr: 0.01, accuracy: tensor(0.8574, device='cuda:0'), loss: 0.31891563534736633, valid accuracy: tensor(0.4693, device='cuda:0')
epoch: 56, lr: 0.01, accuracy: tensor(0.8531, device='cuda:0'), loss: 0.42713460326194763, valid accuracy: tensor(0.6491, device='cuda:0')
epoch: 57, lr: 0.01, accuracy: tensor(0.8512, device='cuda:0'), loss: 0.5386937260627747, valid accuracy: tensor(0.5943, device='cuda:0')
epoch: 58, lr: 0.01, accuracy: tensor(0.8622, device='cuda:0'), loss: 0.37565934658050537, valid accuracy: tensor(0.2061, device='cuda:0')
epoch: 59, lr: 0.01, accuracy: tensor(0.8593, device='cuda:0'), loss: 0.47141754627227783, valid accuracy: tensor(0.3136, device='cuda:0')
epoch: 60, lr: 0.01, accuracy: tensor(0.8590, device='cuda:0'), loss: 0.4297168552875519, valid accuracy: tensor(0.2829, device='cuda:0')
epoch: 61, lr: 0.01, accuracy: tensor(0.8573, device='cuda:0'), loss: 0.490689754486084, valid accuracy: tensor(0.1535, device='cuda:0')
epoch: 62, lr: 0.01, accuracy: tensor(0.8672, device='cuda:0'), loss: 0.3458654582500458, valid accuracy: tensor(0.1579, device='cuda:0')
epoch: 63, lr: 0.01, accuracy: tensor(0.8612, device='cuda:0'), loss: 0.514622688293457, valid accuracy: tensor(0.5329, device='cuda:0')
epoch: 64, lr: 0.01, accuracy: tensor(0.8648, device='cuda:0'), loss: 0.43621987104415894, valid accuracy: tensor(0.2741, device='cuda:0')
epoch: 65, lr: 0.01, accuracy: tensor(0.8672, device='cuda:0'), loss: 0.32153648138046265, valid accuracy: tensor(0.3355, device='cuda:0')
epoch: 66, lr: 0.01, accuracy: tensor(0.8664, device='cuda:0'), loss: 0.3738540709018707, valid accuracy: tensor(0.2456, device='cuda:0')
epoch: 67, lr: 0.01, accuracy: tensor(0.8681, device='cuda:0'), loss: 0.38315439224243164, valid accuracy: tensor(0.5636, device='cuda:0')
epoch: 68, lr: 0.01, accuracy: tensor(0.8735, device='cuda:0'), loss: 0.4618528485298157, valid accuracy: tensor(0.5482, device='cuda:0')
epoch: 69, lr: 0.01, accuracy: tensor(0.8678, device='cuda:0'), loss: 0.49133652448654175, valid accuracy: tensor(0.4364, device='cuda:0')
epoch: 70, lr: 0.01, accuracy: tensor(0.8738, device='cuda:0'), loss: 0.32291659712791443, valid accuracy: tensor(0.3202, device='cuda:0')
epoch: 71, lr: 0.01, accuracy: tensor(0.8789, device='cuda:0'), loss: 0.5125014185905457, valid accuracy: tensor(0.0636, device='cuda:0')
epoch: 72, lr: 0.01, accuracy: tensor(0.8801, device='cuda:0'), loss: 0.48503512144088745, valid accuracy: tensor(0.2390, device='cuda:0')
epoch: 73, lr: 0.01, accuracy: tensor(0.8779, device='cuda:0'), loss: 0.3175819516181946, valid accuracy: tensor(0.3355, device='cuda:0')
epoch: 74, lr: 0.01, accuracy: tensor(0.8775, device='cuda:0'), loss: 0.6595645546913147, valid accuracy: tensor(0.0373, device='cuda:0')
epoch: 75, lr: 0.01, accuracy: tensor(0.8699, device='cuda:0'), loss: 0.5834698677062988, valid accuracy: tensor(0.2346, device='cuda:0')
epoch: 76, lr: 0.01, accuracy: tensor(0.8756, device='cuda:0'), loss: 0.4353227913379669, valid accuracy: tensor(0.2939, device='cuda:0')
epoch: 77, lr: 0.01, accuracy: tensor(0.8802, device='cuda:0'), loss: 0.3333512842655182, valid accuracy: tensor(0.4452, device='cuda:0')
epoch: 78, lr: 0.01, accuracy: tensor(0.8815, device='cuda:0'), loss: 0.3627490699291229, valid accuracy: tensor(0.2719, device='cuda:0')
epoch: 79, lr: 0.01, accuracy: tensor(0.8791, device='cuda:0'), loss: 0.6346259117126465, valid accuracy: tensor(0.5088, device='cuda:0')
epoch: 80, lr: 0.01, accuracy: tensor(0.8883, device='cuda:0'), loss: 0.4393342137336731, valid accuracy: tensor(0.5307, device='cuda:0')
epoch: 81, lr: 0.01, accuracy: tensor(0.8828, device='cuda:0'), loss: 0.4594070315361023, valid accuracy: tensor(0.2127, device='cuda:0')
epoch: 82, lr: 0.01, accuracy: tensor(0.8843, device='cuda:0'), loss: 0.40044480562210083, valid accuracy: tensor(0.4781, device='cuda:0')
epoch: 83, lr: 0.01, accuracy: tensor(0.8893, device='cuda:0'), loss: 0.45599451661109924, valid accuracy: tensor(0.2829, device='cuda:0')
epoch: 84, lr: 0.01, accuracy: tensor(0.8883, device='cuda:0'), loss: 0.39835622906684875, valid accuracy: tensor(0.3289, device='cuda:0')
epoch: 85, lr: 0.01, accuracy: tensor(0.8878, device='cuda:0'), loss: 0.40877389907836914, valid accuracy: tensor(0.6184, device='cuda:0')
epoch: 86, lr: 0.01, accuracy: tensor(0.8884, device='cuda:0'), loss: 0.4487250745296478, valid accuracy: tensor(0.1425, device='cuda:0')
epoch: 87, lr: 0.01, accuracy: tensor(0.8918, device='cuda:0'), loss: 0.3822709023952484, valid accuracy: tensor(0.4035, device='cuda:0')
epoch: 88, lr: 0.01, accuracy: tensor(0.8950, device='cuda:0'), loss: 0.41446805000305176, valid accuracy: tensor(0.4956, device='cuda:0')
epoch: 89, lr: 0.01, accuracy: tensor(0.8964, device='cuda:0'), loss: 0.4998853802680969, valid accuracy: tensor(0.4759, device='cuda:0')
epoch: 90, lr: 0.01, accuracy: tensor(0.8849, device='cuda:0'), loss: 0.47086355090141296, valid accuracy: tensor(0.6075, device='cuda:0')
epoch: 91, lr: 0.01, accuracy: tensor(0.8867, device='cuda:0'), loss: 0.5749555230140686, valid accuracy: tensor(0.2719, device='cuda:0')
epoch: 92, lr: 0.01, accuracy: tensor(0.8914, device='cuda:0'), loss: 0.4425811171531677, valid accuracy: tensor(0.2259, device='cuda:0')
