-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (12576, 16, 250) Train Lable: (12576, 1)
Test Data: (457, 16, 250) Test Lable: (457, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6288
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 6745
Number of 'non sick' samples: 6288
Maximum Value in Data Set: 63.853317
Minimum Value in Data Set: -89.733826
Mean Value in Data Set: -0.00045214652
Standard Daviation in Data Set: 0.99545324
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 6288
Number of 'non sick' samples: 6288
Maximum Value in Training Set: 63.853317
Minimum Value in Data Set: -89.733826
Mean Value in Data Set: -0.00046857737
Standard Daviation in Data Set: 0.9952878
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 457
Number of 'non sick' samples: 0
Maximum Value in Testing Set: 11.446419
Minimum Value in Data Set: -13.863398
Mean Value in Data Set: 4.536735e-09
Standard Daviation in Data Set: 0.9999998
epoch: 0, lr: 0.01, accuracy: tensor(0.5639, device='cuda:0'), loss: 0.6716399192810059, valid accuracy: tensor(1., device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.5802, device='cuda:0'), loss: 0.7143121361732483, valid accuracy: tensor(1., device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.5786, device='cuda:0'), loss: 0.6431134343147278, valid accuracy: tensor(0.4070, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.5926, device='cuda:0'), loss: 0.6501581072807312, valid accuracy: tensor(0.3895, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.5949, device='cuda:0'), loss: 0.7138048410415649, valid accuracy: tensor(0.9891, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.6069, device='cuda:0'), loss: 0.5665386915206909, valid accuracy: tensor(0.9716, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.6013, device='cuda:0'), loss: 0.6227628588676453, valid accuracy: tensor(0.9978, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.6021, device='cuda:0'), loss: 0.5958253145217896, valid accuracy: tensor(0.9409, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.5997, device='cuda:0'), loss: 0.6674497127532959, valid accuracy: tensor(0.8621, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.6024, device='cuda:0'), loss: 0.6613195538520813, valid accuracy: tensor(0.9847, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.6042, device='cuda:0'), loss: 0.5793453454971313, valid accuracy: tensor(0.9956, device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.6025, device='cuda:0'), loss: 0.6497987508773804, valid accuracy: tensor(0.9716, device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.6072, device='cuda:0'), loss: 0.6041034460067749, valid accuracy: tensor(0.9869, device='cuda:0')
epoch: 13, lr: 0.01, accuracy: tensor(0.6056, device='cuda:0'), loss: 0.5951429605484009, valid accuracy: tensor(0.9540, device='cuda:0')
epoch: 14, lr: 0.01, accuracy: tensor(0.6057, device='cuda:0'), loss: 0.6795943379402161, valid accuracy: tensor(0.9453, device='cuda:0')
epoch: 15, lr: 0.01, accuracy: tensor(0.6056, device='cuda:0'), loss: 0.6233232021331787, valid accuracy: tensor(0.8490, device='cuda:0')
epoch: 16, lr: 0.01, accuracy: tensor(0.6073, device='cuda:0'), loss: 0.6137534976005554, valid accuracy: tensor(0.9781, device='cuda:0')
epoch: 17, lr: 0.01, accuracy: tensor(0.6081, device='cuda:0'), loss: 0.5817883014678955, valid accuracy: tensor(0.9847, device='cuda:0')
epoch: 18, lr: 0.01, accuracy: tensor(0.6092, device='cuda:0'), loss: 0.6568518877029419, valid accuracy: tensor(0.8074, device='cuda:0')
epoch: 19, lr: 0.01, accuracy: tensor(0.6121, device='cuda:0'), loss: 0.6268351078033447, valid accuracy: tensor(0.8972, device='cuda:0')
epoch: 20, lr: 0.01, accuracy: tensor(0.6080, device='cuda:0'), loss: 0.7025029063224792, valid accuracy: tensor(0.9781, device='cuda:0')
epoch: 21, lr: 0.01, accuracy: tensor(0.6035, device='cuda:0'), loss: 0.5801071524620056, valid accuracy: tensor(0.9015, device='cuda:0')
epoch: 22, lr: 0.01, accuracy: tensor(0.6073, device='cuda:0'), loss: 0.6234866976737976, valid accuracy: tensor(0.9672, device='cuda:0')
epoch: 23, lr: 0.01, accuracy: tensor(0.6069, device='cuda:0'), loss: 0.5602931976318359, valid accuracy: tensor(0.9803, device='cuda:0')
epoch: 24, lr: 0.01, accuracy: tensor(0.6132, device='cuda:0'), loss: 0.5842864513397217, valid accuracy: tensor(0.9606, device='cuda:0')
epoch: 25, lr: 0.01, accuracy: tensor(0.6102, device='cuda:0'), loss: 0.5818547606468201, valid accuracy: tensor(0.9759, device='cuda:0')
epoch: 26, lr: 0.01, accuracy: tensor(0.6150, device='cuda:0'), loss: 0.7156528830528259, valid accuracy: tensor(1., device='cuda:0')
epoch: 27, lr: 0.01, accuracy: tensor(0.6132, device='cuda:0'), loss: 0.6069808006286621, valid accuracy: tensor(0.8993, device='cuda:0')
epoch: 28, lr: 0.01, accuracy: tensor(0.6131, device='cuda:0'), loss: 0.6005940437316895, valid accuracy: tensor(1., device='cuda:0')
epoch: 29, lr: 0.01, accuracy: tensor(0.6046, device='cuda:0'), loss: 0.6299638152122498, valid accuracy: tensor(0.9956, device='cuda:0')
epoch: 30, lr: 0.01, accuracy: tensor(0.6143, device='cuda:0'), loss: 0.5828349590301514, valid accuracy: tensor(0.8074, device='cuda:0')
epoch: 31, lr: 0.01, accuracy: tensor(0.6071, device='cuda:0'), loss: 0.6376497745513916, valid accuracy: tensor(0.8359, device='cuda:0')
epoch: 32, lr: 0.01, accuracy: tensor(0.6025, device='cuda:0'), loss: 0.7263279557228088, valid accuracy: tensor(1., device='cuda:0')
epoch: 33, lr: 0.01, accuracy: tensor(0.6054, device='cuda:0'), loss: 0.6732870936393738, valid accuracy: tensor(0.9956, device='cuda:0')
epoch: 34, lr: 0.01, accuracy: tensor(0.6126, device='cuda:0'), loss: 0.5631673336029053, valid accuracy: tensor(0.9737, device='cuda:0')
epoch: 35, lr: 0.01, accuracy: tensor(0.6158, device='cuda:0'), loss: 0.7012724280357361, valid accuracy: tensor(0.9847, device='cuda:0')
epoch: 36, lr: 0.01, accuracy: tensor(0.6096, device='cuda:0'), loss: 0.6477857828140259, valid accuracy: tensor(0.9672, device='cuda:0')
epoch: 37, lr: 0.01, accuracy: tensor(0.6068, device='cuda:0'), loss: 0.6357181072235107, valid accuracy: tensor(0.9934, device='cuda:0')
epoch: 38, lr: 0.01, accuracy: tensor(0.6042, device='cuda:0'), loss: 0.5928359031677246, valid accuracy: tensor(0.9978, device='cuda:0')
epoch: 39, lr: 0.01, accuracy: tensor(0.6031, device='cuda:0'), loss: 0.6071031093597412, valid accuracy: tensor(0.9847, device='cuda:0')
epoch: 40, lr: 0.01, accuracy: tensor(0.6067, device='cuda:0'), loss: 0.6450179815292358, valid accuracy: tensor(0.7418, device='cuda:0')
epoch: 41, lr: 0.01, accuracy: tensor(0.6089, device='cuda:0'), loss: 0.6025211811065674, valid accuracy: tensor(0.9956, device='cuda:0')
epoch: 42, lr: 0.01, accuracy: tensor(0.6186, device='cuda:0'), loss: 0.6116548776626587, valid accuracy: tensor(0.9978, device='cuda:0')
epoch: 43, lr: 0.01, accuracy: tensor(0.6104, device='cuda:0'), loss: 0.5901598930358887, valid accuracy: tensor(0.9978, device='cuda:0')
epoch: 44, lr: 0.01, accuracy: tensor(0.6106, device='cuda:0'), loss: 0.7249910831451416, valid accuracy: tensor(0.9847, device='cuda:0')
epoch: 45, lr: 0.01, accuracy: tensor(0.6079, device='cuda:0'), loss: 0.6286113262176514, valid accuracy: tensor(0.9978, device='cuda:0')
epoch: 46, lr: 0.01, accuracy: tensor(0.6086, device='cuda:0'), loss: 0.6381888389587402, valid accuracy: tensor(0.9737, device='cuda:0')
epoch: 47, lr: 0.01, accuracy: tensor(0.6108, device='cuda:0'), loss: 0.6248053312301636, valid accuracy: tensor(0.8753, device='cuda:0')
epoch: 48, lr: 0.01, accuracy: tensor(0.6065, device='cuda:0'), loss: 0.6026665568351746, valid accuracy: tensor(0.9978, device='cuda:0')
epoch: 49, lr: 0.01, accuracy: tensor(0.6032, device='cuda:0'), loss: 0.6287602186203003, valid accuracy: tensor(0.9825, device='cuda:0')
epoch: 50, lr: 0.01, accuracy: tensor(0.6076, device='cuda:0'), loss: 0.5180562138557434, valid accuracy: tensor(1., device='cuda:0')
epoch: 51, lr: 0.01, accuracy: tensor(0.6067, device='cuda:0'), loss: 0.7262755036354065, valid accuracy: tensor(1., device='cuda:0')
epoch: 52, lr: 0.01, accuracy: tensor(0.6215, device='cuda:0'), loss: 0.6596634387969971, valid accuracy: tensor(0.9475, device='cuda:0')
epoch: 53, lr: 0.01, accuracy: tensor(0.6099, device='cuda:0'), loss: 0.6966971755027771, valid accuracy: tensor(0.9956, device='cuda:0')
epoch: 54, lr: 0.01, accuracy: tensor(0.6060, device='cuda:0'), loss: 0.6298406720161438, valid accuracy: tensor(0.9694, device='cuda:0')
epoch: 55, lr: 0.01, accuracy: tensor(0.6093, device='cuda:0'), loss: 0.7180696725845337, valid accuracy: tensor(0.9650, device='cuda:0')
epoch: 56, lr: 0.01, accuracy: tensor(0.6161, device='cuda:0'), loss: 0.6217513084411621, valid accuracy: tensor(0.8753, device='cuda:0')
epoch: 57, lr: 0.01, accuracy: tensor(0.6113, device='cuda:0'), loss: 0.6200039386749268, valid accuracy: tensor(0.9825, device='cuda:0')
epoch: 58, lr: 0.01, accuracy: tensor(0.6026, device='cuda:0'), loss: 0.5921532511711121, valid accuracy: tensor(1., device='cuda:0')
epoch: 59, lr: 0.01, accuracy: tensor(0.6132, device='cuda:0'), loss: 0.6707732677459717, valid accuracy: tensor(1., device='cuda:0')
