-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (11876, 16, 250) Train Lable: (11876, 1)
Test Data: (459, 16, 250) Test Lable: (459, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6282
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 6053
Number of 'non sick' samples: 6282
Maximum Value in Data Set: 46.46627816977023
Minimum Value in Data Set: -52.78977605145359
Mean Value in Data Set: -1.1377900378381434e-17
Standard Daviation in Data Set: 1.0000000000000007
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 5938
Number of 'non sick' samples: 5938
Maximum Value in Training Set: 46.46627816977023
Minimum Value in Data Set: -52.78977605145359
Mean Value in Data Set: -1.242552335488865e-17
Standard Daviation in Data Set: 1.000000000000001
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 115
Number of 'non sick' samples: 344
Maximum Value in Testing Set: 8.556459649344427
Minimum Value in Data Set: -7.013132415048403
Mean Value in Data Set: 1.4934555649772475e-17
Standard Daviation in Data Set: 1.0000000000000002
epoch: 0, lr: 0.01, accuracy: tensor(0.5377, device='cuda:0'), loss: 0.6959823369979858, valid accuracy: tensor(0.2702, device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.6021, device='cuda:0'), loss: 0.6149288415908813, valid accuracy: tensor(0.5142, device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.6539, device='cuda:0'), loss: 0.6287413835525513, valid accuracy: tensor(0.5076, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.6783, device='cuda:0'), loss: 0.6309162378311157, valid accuracy: tensor(0.4510, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.6882, device='cuda:0'), loss: 0.5784739255905151, valid accuracy: tensor(0.5468, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.6957, device='cuda:0'), loss: 0.5927883982658386, valid accuracy: tensor(0.4292, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.6917, device='cuda:0'), loss: 0.5619412064552307, valid accuracy: tensor(0.5229, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.7086, device='cuda:0'), loss: 0.6121599674224854, valid accuracy: tensor(0.5207, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.7146, device='cuda:0'), loss: 0.5751477479934692, valid accuracy: tensor(0.5534, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.7239, device='cuda:0'), loss: 0.450879842042923, valid accuracy: tensor(0.5076, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.7278, device='cuda:0'), loss: 0.6286088228225708, valid accuracy: tensor(0.3660, device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.7301, device='cuda:0'), loss: 0.4876621663570404, valid accuracy: tensor(0.5686, device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.7409, device='cuda:0'), loss: 0.4817906618118286, valid accuracy: tensor(0.6013, device='cuda:0')
epoch: 13, lr: 0.01, accuracy: tensor(0.7407, device='cuda:0'), loss: 0.5052830576896667, valid accuracy: tensor(0.5752, device='cuda:0')
epoch: 14, lr: 0.01, accuracy: tensor(0.7505, device='cuda:0'), loss: 0.6116087436676025, valid accuracy: tensor(0.3704, device='cuda:0')
epoch: 15, lr: 0.01, accuracy: tensor(0.7576, device='cuda:0'), loss: 0.5297247767448425, valid accuracy: tensor(0.4946, device='cuda:0')
epoch: 16, lr: 0.01, accuracy: tensor(0.7586, device='cuda:0'), loss: 0.5433075428009033, valid accuracy: tensor(0.5534, device='cuda:0')
epoch: 17, lr: 0.01, accuracy: tensor(0.7668, device='cuda:0'), loss: 0.47725269198417664, valid accuracy: tensor(0.5686, device='cuda:0')
epoch: 18, lr: 0.01, accuracy: tensor(0.7703, device='cuda:0'), loss: 0.5416285395622253, valid accuracy: tensor(0.5120, device='cuda:0')
epoch: 19, lr: 0.01, accuracy: tensor(0.7715, device='cuda:0'), loss: 0.5420259833335876, valid accuracy: tensor(0.6449, device='cuda:0')
epoch: 20, lr: 0.01, accuracy: tensor(0.7779, device='cuda:0'), loss: 0.5540120005607605, valid accuracy: tensor(0.5142, device='cuda:0')
epoch: 21, lr: 0.01, accuracy: tensor(0.7820, device='cuda:0'), loss: 0.4540029764175415, valid accuracy: tensor(0.3551, device='cuda:0')
epoch: 22, lr: 0.01, accuracy: tensor(0.7844, device='cuda:0'), loss: 0.4391976296901703, valid accuracy: tensor(0.3878, device='cuda:0')
epoch: 23, lr: 0.01, accuracy: tensor(0.7842, device='cuda:0'), loss: 0.5673995614051819, valid accuracy: tensor(0.3638, device='cuda:0')
epoch: 24, lr: 0.01, accuracy: tensor(0.7900, device='cuda:0'), loss: 0.579892098903656, valid accuracy: tensor(0.5468, device='cuda:0')
epoch: 25, lr: 0.01, accuracy: tensor(0.7889, device='cuda:0'), loss: 0.5357071757316589, valid accuracy: tensor(0.3159, device='cuda:0')
epoch: 26, lr: 0.01, accuracy: tensor(0.7945, device='cuda:0'), loss: 0.5422629117965698, valid accuracy: tensor(0.4031, device='cuda:0')
epoch: 27, lr: 0.01, accuracy: tensor(0.7995, device='cuda:0'), loss: 0.5459128022193909, valid accuracy: tensor(0.2658, device='cuda:0')
epoch: 28, lr: 0.01, accuracy: tensor(0.7977, device='cuda:0'), loss: 0.49280813336372375, valid accuracy: tensor(0.3355, device='cuda:0')
